Date,Team,PTS,,Opp,PTS,,OT,Notes
Thu Jan 14 2016,New Zealand Breakers,69,,Illawarra Hawks,87,,,
Fri Jan 15 2016,Cairns Taipans,68,,Melbourne United,98,,,
Fri Jan 15 2016,Sydney Kings,68,,Perth Wildcats,95,,,
Sat Jan 16 2016,Adelaide 36ers,108,,Townsville Crocodiles,103,,,
Sun Jan 17 2016,Illawarra Hawks,103,,New Zealand Breakers,96,,,
Wed Jan 20 2016,Sydney Kings,89,,Adelaide 36ers,96,,,
Thu Jan 21 2016,Illawarra Hawks,72,,Perth Wildcats,95,,,
Thu Jan 21 2016,New Zealand Breakers,66,,Townsville Crocodiles,89,,,
Fri Jan 22 2016,Melbourne United,81,,Adelaide 36ers,90,,,
Sat Jan 23 2016,New Zealand Breakers,87,,Cairns Taipans,90,,,
Mon Jan 25 2016,Cairns Taipans,74,,Perth Wildcats,84,,,
Wed Jan 27 2016,Sydney Kings,88,,Townsville Crocodiles,96,,,
Thu Jan 28 2016,Adelaide 36ers,97,,Illawarra Hawks,104,,,
Fri Jan 29 2016,Sydney Kings,76,,Cairns Taipans,81,,,
Fri Jan 29 2016,Townsville Crocodiles,74,,New Zealand Breakers,77,,,
Fri Jan 29 2016,Melbourne United,91,,Perth Wildcats,85,,,
Sat Jan 30 2016,Illawarra Hawks,90,,Adelaide 36ers,104,,,
Wed Feb 3 2016,New Zealand Breakers,106,,Adelaide 36ers,84,,,
Thu Feb 4 2016,Melbourne United,80,,Illawarra Hawks,73,,,
Fri Feb 5 2016,Adelaide 36ers,89,,Cairns Taipans,95,,,
Fri Feb 5 2016,Sydney Kings,81,,Perth Wildcats,95,,,
Sat Feb 6 2016,Townsville Crocodiles,97,,Illawarra Hawks,104,,,
Sun Feb 7 2016,Cairns Taipans,74,,New Zealand Breakers,85,,,
Wed Feb 10 2016,Perth Wildcats,77,,Sydney Kings,103,,,
Thu Feb 11 2016,Cairns Taipans,68,,Townsville Crocodiles,85,,,
Fri Feb 12 2016,Adelaide 36ers,95,,Illawarra Hawks,106,,,
Fri Feb 12 2016,Melbourne United,63,,New Zealand Breakers,100,,,
Sat Feb 13 2016,Sydney Kings,123,,Townsville Crocodiles,126,,,
Sun Feb 14 2016,New Zealand Breakers,70,,Melbourne United,68,,,
Sun Feb 14 2016,Adelaide 36ers,84,,Perth Wildcats,100,,,
