Wk,Day,Date,Time,HomeTeam,xG,Score,xG _1,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2022-10-30,14:30 (08:30),FC Como Women,2.0,2–2,1.8,Sassuolo,,Stadio Ferrucio Trabattoni,Alfredo Iannello,Match Report,
8,Sun,2022-10-30,14:30 (08:30),UC Sampdoria,0.5,0–0,0.9,Parma Calcio 1913,,Campo Sportivo Tre Campanili,Gabriele Restaldo,Match Report,
,,,,,,,,,,,,,
9,Sat,2022-11-19,12:30 (05:30),AS Roma,2.0,2–0,0.1,UC Sampdoria,,Stadio Tre Fontane,Luigi Catanoso,Match Report,
9,Sat,2022-11-19,14:30 (07:30),Parma Calcio 1913,0.3,1–2,2.5,Juventus,,Stadio Ennio Tardini,Andrea Calzavara,Match Report,
9,Sun,2022-11-20,12:30 (05:30),Sassuolo,0.9,2–1,0.3,ASD Calcio Pomigliano,,Stadio Enzo Ricci,Mattia Ubaldi,Match Report,
9,Sun,2022-11-20,14:30 (07:30),Milan,2.3,3–3,1.3,FC Como Women,,Puma House of Football,Eugenio Scarpa,Match Report,
9,Sun,2022-11-20,14:30 (07:30),Fiorentina,0.8,0–0,2.0,Internazionale,,Stadio Piero Torrini,Giuseppe Collu,Match Report,
,,,,,,,,,,,,,
10,Sat,2022-11-26,12:30 (05:30),AS Roma,3.8,2–0,0.7,ASD Calcio Pomigliano,,Stadio Tre Fontane,Luca Angelucci,Match Report,
10,Sat,2022-11-26,14:30 (07:30),Fiorentina,1.5,1–6,2.2,Milan,,Stadio Piero Torrini,Maria Marotta,Match Report,
10,Sun,2022-11-27,12:30 (05:30),UC Sampdoria,1.9,0–2,1.3,Sassuolo,,Campo Sportivo Tre Campanili,Mauro Gangi,Match Report,
10,Sun,2022-11-27,14:30 (07:30),Juventus,2.6,1–1,1.8,FC Como Women,,Juventus Training Center,Sajmir Kumara,Match Report,
10,Mon,2022-11-28,19:00 (12:00),Parma Calcio 1913,1.4,2–2,1.4,Internazionale,,Stadio Ennio Tardini,Carlo Rinaldi,Match Report,
,,,,,,,,,,,,,
11,Sat,2022-12-03,12:30 (05:30),ASD Calcio Pomigliano,1.2,1–0,1.0,UC Sampdoria,,Stadio Comunale di Palma Campania,Filippo Giaccaglia,Match Report,
11,Sat,2022-12-03,14:30 (07:30),Internazionale,1.2,0–2,2.3,Juventus,,Stadio Ernesto Breda,Alessandro Di Graci,Match Report,
11,Sun,2022-12-04,12:30 (05:30),Sassuolo,1.6,2–2,1.6,Parma Calcio 1913,,Stadio Enzo Ricci,Emanuele Ceriello,Match Report,
11,Sun,2022-12-04,14:30 (07:30),Milan,0.6,0–2,1.5,AS Roma,,Puma House of Football,Marco Emmanuele,Match Report,
11,Sun,2022-12-04,14:30 (07:30),FC Como Women,1.0,2–3,1.3,Fiorentina,,Stadio Ferrucio Trabattoni,Simone Gauzolino,Match Report,
,,,,,,,,,,,,,
12,Sat,2022-12-10,12:30 (05:30),ASD Calcio Pomigliano,0.2,1–2,2.4,Internazionale,,Stadio Comunale di Palma Campania,Luigi Catanoso,Match Report,
12,Sat,2022-12-10,14:30 (07:30),Parma Calcio 1913,0.3,0–4,3.0,Fiorentina,,Stadio Ennio Tardini,Mario Saia,Match Report,
12,Sat,2022-12-10,14:30 (07:30),Sassuolo,1.2,0–1,0.8,Milan,,Stadio Enzo Ricci,Emanuele Frascaro,Match Report,
12,Sun,2022-12-11,12:30 (05:30),UC Sampdoria,1.7,0–1,1.9,FC Como Women,,Stadio Comunale Luigi Ferraris,Andrea Bordin,Match Report,
12,Sun,2022-12-11,14:30 (07:30),AS Roma,2.1,2–4,1.3,Juventus,,Stadio Tre Fontane,Enrico Maggio,Match Report,
,,,,,,,,,,,,,
13,Sat,2023-01-14,12:30 (05:30),FC Como Women,0.9,0–1,0.9,ASD Calcio Pomigliano,,Stadio Ferrucio Trabattoni,Michele Giordano,Match Report,
13,Sat,2023-01-14,12:30 (05:30),Internazionale,2.2,4–0,0.2,UC Sampdoria,,Stadio Ernesto Breda,Aleksandar Djurdjevic,Match Report,
13,Sat,2023-01-14,14:30 (07:30),Fiorentina,1.1,1–7,3.9,AS Roma,,Stadio Piero Torrini,Luca Cherchi,Match Report,
13,Sun,2023-01-15,12:30 (05:30),Milan,1.5,2–0,0.8,Parma Calcio 1913,,Puma House of Football,Luca Angelucci,Match Report,
13,Sun,2023-01-15,14:30 (07:30),Juventus,1.1,1–1,1.7,Sassuolo,,Juventus Training Center,Roberto Lovison,Match Report,
,,,,,,,,,,,,,
14,Sat,2023-01-21,12:30 (05:30),UC Sampdoria,0.4,0–3,1.9,Milan,,Stadio Comunale Luigi Ferraris,Andrea Ancora,Match Report,
14,Sat,2023-01-21,14:30 (07:30),Sassuolo,0.7,0–1,0.7,Fiorentina,,Stadio Enzo Ricci,Filippo Giaccaglia,Match Report,
14,Sun,2023-01-22,12:00 (05:00),ASD Calcio Pomigliano,0.5,1–2,2.3,Juventus,,Stadio Ugo Gobbato,Giorgio Di Cicco,Match Report,
14,Sun,2023-01-22,12:30 (05:30),Parma Calcio 1913,0.5,2–3,2.2,AS Roma,,Stadio Ennio Tardini,Adalberto Fiero,Match Report,
14,Sun,2023-01-22,14:30 (07:30),Internazionale,1.1,1–1,1.0,FC Como Women,,Stadio Ernesto Breda,Ettore Longo,Match Report,
,,,,,,,,,,,,,
15,Sat,2023-01-28,14:30 (07:30),Milan,1.5,1–4,3.0,Internazionale,,Puma House of Football,Sajmir Kumara,Match Report,
15,Sat,2023-01-28,14:30 (07:30),Fiorentina,2.2,2–0,0.7,ASD Calcio Pomigliano,,Stadio Piero Torrini,Dario Madonia,Match Report,
15,Sun,2023-01-29,12:30 (05:30),Juventus,2.2,5–0,0.2,UC Sampdoria,,Juventus Training Center,Edoardo Gianquinto,Match Report,
15,Sun,2023-01-29,14:30 (07:30),AS Roma,2.3,5–0,0.3,Sassuolo,,Stadio Tre Fontane,Enrico Gemelli,Match Report,
15,Sun,2023-01-29,14:30 (07:30),Parma Calcio 1913,1.3,1–0,1.0,FC Como Women,,Stadio Ennio Tardini,Giuseppe Mucera,Match Report,
,,,,,,,,,,,,,
16,Sat,2023-02-04,12:30 (05:30),FC Como Women,0.2,0–1,2.1,AS Roma,,Stadio Ferrucio Trabattoni,Davide Gandino,Match Report,
16,Sat,2023-02-04,12:30 (05:30),UC Sampdoria,0.5,1–4,1.6,Fiorentina,,Stadio Comunale Luigi Ferraris,Emanuele Ceriello,Match Report,
16,Sat,2023-02-04,14:30 (07:30),Juventus,1.3,1–2,2.1,Milan,,Juventus Training Center,Giuseppe Collu,Match Report,
16,Sat,2023-02-04,14:30 (07:30),ASD Calcio Pomigliano,1.0,0–0,0.4,Parma Calcio 1913,,Stadio Ugo Gobbato,Adolfo Baratta,Match Report,
16,Sun,2023-02-05,14:30 (07:30),Internazionale,1.7,3–0,1.1,Sassuolo,,Stadio Giacinto Facchetti,Erminio Cerbasi,Match Report,
,,,,,,,,,,,,,
17,Sat,2023-02-11,12:30 (05:30),Fiorentina,0.7,0–3,3.1,Juventus,,Stadio Piero Torrini,Andrea Ancora,Match Report,
17,Sat,2023-02-11,14:30 (07:30),AS Roma,2.0,3–2,0.7,Internazionale,,Stadio Tre Fontane,Valerio Crezzini,Match Report,
17,Sun,2023-02-12,12:30 (05:30),Parma Calcio 1913,1.6,3–1,1.4,UC Sampdoria,,Stadio Ennio Tardini,Mario Perri,Match Report,
17,Sun,2023-02-12,14:30 (07:30),Milan,2.1,1–0,1.6,ASD Calcio Pomigliano,,Puma House of Football,Ettore Longo,Match Report,
17,Sun,2023-02-12,14:30 (07:30),Sassuolo,1.7,2–0,0.8,FC Como Women,,Stadio Enzo Ricci,Matteo Centi,Match Report,
,,,,,,,,,,,,,
18,Sat,2023-02-25,12:30 (05:30),Internazionale,2.5,3–1,1.1,Fiorentina,,Centro Sportivo Giacinto Facchetti,Alfredo Iannello,Match Report,
18,Sat,2023-02-25,14:30 (07:30),ASD Calcio Pomigliano,1.1,0–2,2.5,Sassuolo,,Stadio Comunale di Palma Campania,Antonio Di Reda,Match Report,
18,Sun,2023-02-26,12:30 (05:30),UC Sampdoria,0.3,0–1,3.1,AS Roma,,Campo Sportivo Tre Campanili,Lorenzo Maccarini,Match Report,
18,Sun,2023-02-26,14:30 (07:30),Juventus,2.2,2–1,0.4,Parma Calcio 1913,,Juventus Training Center,FABRIZIO PACELLA,Match Report,
18,Sun,2023-02-26,14:30 (07:30),FC Como Women,0.1,0–4,0.8,Milan,,Stadio Ferrucio Trabattoni,Gabriele Sacchi,Match Report,
