Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
,,,,,,,,,,,
8,Sat,2018-11-24,14:30 (07:30),Pink Bari,0–2,Florentia,300,Stadio Antonio Antonacci,Claudio Campobasso,Match Report,
8,Sat,2018-11-24,14:30 (07:30),Sassuolo,4–1,AGSM Verona,250,Stadio Città del Tricolore,Fabio Catani,Match Report,
8,Sat,2018-11-24,14:30 (07:30),AC Milan,3–1,Orobica Calcio,300,Centro Sportivo Peppino Vismara,Marco Gullotta,Match Report,
8,Sat,2018-11-24,14:30 (07:30),Atalanta,0–2,AS Roma,150,Stadio Comunale,Marco Cecchin,Match Report,
8,Sat,2018-11-24,14:30 (07:30),ChievoVerona,2–3,Tavagnacco,200,Stadio AGSM Olivieri,Francesco Croce,Match Report,
8,Sun,2018-11-25,12:30 (05:30),Fiorentina,0–2,Juventus,800,Stadio Comunale Gino Bozzi,Mattia Caldera,Match Report,
,,,,,,,,,,,
9,Sat,2018-12-01,12:30 (05:30),AS Roma,1–2,AC Milan,600,Stadio Torbellamonaca,Salvatore Morabito,Match Report,
9,Sat,2018-12-01,14:30 (07:30),Juventus,4–0,Sassuolo,500,Juventus Training Center,Ermes Cavaliere,Match Report,
9,Sat,2018-12-01,14:30 (07:30),AGSM Verona,3–1,Tavagnacco,250,Stadio AGSM Olivieri,Giuseppe Rispoli,Match Report,
9,Sat,2018-12-01,14:30 (07:30),Atalanta,5–1,ChievoVerona,250,Stadio Comunale,Dario Di Francesco,Match Report,
9,Sat,2018-12-01,14:30 (07:30),Orobica Calcio,1–1,Pink Bari,150,Stadio Giacinto Facchetti,Simone Piazzini,Match Report,
9,Sun,2018-12-02,12:30 (05:30),Florentia,0–3,Fiorentina,600,Juventus Training Center,Ivan Catallo,Match Report,
,,,,,,,,,,,
10,Sat,2018-12-15,14:30 (07:30),AC Milan,0–0,Atalanta,400,Centro Sportivo Peppino Vismara,Alberto Arena,Match Report,
10,Sat,2018-12-15,14:30 (07:30),Pink Bari,0–1,AS Roma,500,Stadio Comunale San Nicola,Andrea Bianchini,Match Report,
10,Sat,2018-12-15,14:30 (07:30),AGSM Verona,9–3,ChievoVerona,500,Stadio AGSM Olivieri,Luigi Catanoso,Match Report,
10,Sat,2018-12-15,14:30 (07:30),Sassuolo,0–1,Florentia,300,Stadio Città del Tricolore,Valentina Finzi,Match Report,
10,Sat,2018-12-15,17:30 (10:30),Fiorentina,6–0,Orobica Calcio,300,Stadio Comunale San Nicola,Matteo Centi,Match Report,
10,Sun,2018-12-16,12:30 (05:30),Tavagnacco,0–2,Juventus,"2,500",Stadio Comunale Gino Bozzi,Daniele Virgilio,Match Report,
,,,,,,,,,,,
11,Sat,2018-12-22,13:00 (06:00),Juventus,5–1,AGSM Verona,300,Juventus Training Center,Stefano Nicolini,Match Report,
11,Sat,2018-12-22,14:30 (07:30),Orobica Calcio,0–3,Sassuolo,150,Stadio Giacinto Facchetti,Jacopo Bertini,Match Report,
11,Sat,2018-12-22,14:30 (07:30),Florentia,2–3,Tavagnacco,200,Campo Sportivo Ascanio Nesi,Frank Tchato,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
