Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2021-08-27,19:15 (12:15),Hoffenheim,2–1,Freiburg,637,Dietmar-Hopp-Stadion,Fabienne Michel,Match Report,
1,Sat,2021-08-28,13:00 (06:00),Wolfsburg,3–0,Turbine Potsdam,"1,060",AOK Stadion,Mirka Derlin,Match Report,
1,Sat,2021-08-28,16:00 (09:00),Essen,1–1,Köln,738,Stadion Essen,Vanessa Arlt,Match Report,
1,Sun,2021-08-29,13:00 (06:00),Carl-Zeiss Jena,0–3,Leverkusen,300,Ernst-Abbe-Sportfeld,Angelika Söder,Match Report,
1,Sun,2021-08-29,13:00 (06:00),Eint Frankfurt,2–1,Sand,"1,000",Stadion am Brentanobad,Melissa Joos,Match Report,
1,Sun,2021-08-29,16:00 (09:00),Bayern Munich,8–0,Werder Bremen,350,FC Bayern Campus Platz 1,Ines Appelmann,Match Report,
,,,,,,,,,,,
2,Fri,2021-09-03,19:15 (12:15),Turbine Potsdam,5–0,Carl-Zeiss Jena,"1,034",Karl-Liebknecht-Stadion,Franziska Wildfeuer,Match Report,
2,Sat,2021-09-04,13:00 (06:00),Sand,0–3,Bayern Munich,664,Adams Arena,Karoline Wacker,Match Report,
2,Sat,2021-09-04,16:00 (09:00),Werder Bremen,0–2,Wolfsburg,150,Weserstadion Platz 11,Riem Hussein,Match Report,
2,Sun,2021-09-05,13:00 (06:00),Freiburg,0–1,Eint Frankfurt,932,Möslestadion,Nadine Westerhoff,Match Report,
2,Sun,2021-09-05,14:30 (07:30),Leverkusen,1–2,Essen,243,Ulrich-Haberland-Stadion,Anna-Lena Heidenreich,Match Report,
2,Sun,2021-09-05,16:00 (09:00),Köln,1–2,Hoffenheim,650,Franz-Kremer-Stadion,Miriam Schwermer,Match Report,
,,,,,,,,,,,
3,Fri,2021-09-10,19:15 (12:15),Leverkusen,2–0,Turbine Potsdam,,Ulrich-Haberland-Stadion,Melissa Joos,Match Report,
3,Sat,2021-09-11,14:00 (07:00),Eint Frankfurt,4–0,Köln,"1,020",Stadion am Brentanobad,Naemi Breier,Match Report,
3,Sat,2021-09-11,19:30 (12:30),Bayern Munich,4–0,Freiburg,,FC Bayern Campus Platz 1,Laura Duske,Match Report,
3,Sun,2021-09-12,13:00 (06:00),Wolfsburg,4–0,Sand,775,AOK Stadion,Nadine Westerhoff,Match Report,
3,Sun,2021-09-12,13:00 (06:00),Carl-Zeiss Jena,1–1,Werder Bremen,325,Ernst-Abbe-Sportfeld,Karoline Wacker,Match Report,
3,Sun,2021-09-12,16:00 (09:00),Essen,0–0,Hoffenheim,613,Stadion Essen,Franziska Wildfeuer,Match Report,
,,,,,,,,,,,
4,Fri,2021-10-01,19:15 (12:15),Köln,0–6,Bayern Munich,,Franz-Kremer-Stadion,Sina Diekmann,Match Report,
4,Sat,2021-10-02,13:00 (06:00),Freiburg,2–2,Wolfsburg,250,Möslestadion,Karoline Wacker,Match Report,
4,Sat,2021-10-02,16:00 (09:00),Hoffenheim,2–1,Eint Frankfurt,377,Dietmar-Hopp-Stadion,Anna-Lena Heidenreich,Match Report,
4,Sun,2021-10-03,13:00 (06:00),Turbine Potsdam,3–2,Essen,"1,258",Karl-Liebknecht-Stadion,Miriam Schwermer,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
4,Sun,2021-10-03,13:00 (06:00),Sand,0–0,Carl-Zeiss Jena,645,Adams Arena,Fabienne Michel,Match Report,
4,Sun,2021-10-03,16:00 (09:00),Werder Bremen,0–3,Leverkusen,165,Weserstadion Platz 11,Mirka Derlin,Match Report,
,,,,,,,,,,,
5,Fri,2021-10-08,19:15 (12:15),Leverkusen,2–0,Sand,306,Ulrich-Haberland-Stadion,Vanessa Arlt,Match Report,
5,Sat,2021-10-09,17:55 (10:55),Bayern Munich,3–1,Hoffenheim,"1,128",FC Bayern Campus Platz 1,Riem Hussein,Match Report,
5,Sun,2021-10-10,13:00 (06:00),Turbine Potsdam,5–0,Werder Bremen,"1,274",Karl-Liebknecht-Stadion,Laura Duske,Match Report,
5,Sun,2021-10-10,13:00 (06:00),Carl-Zeiss Jena,1–5,Freiburg,507,Ernst-Abbe-Sportfeld,Annika Kost,Match Report,
5,Sun,2021-10-10,16:00 (09:00),Essen,0–2,Eint Frankfurt,865,Stadion Essen,Angelika Söder,Match Report,
5,Sun,2021-10-10,16:00 (09:00),Wolfsburg,3–0,Köln,998,AOK Stadion,Franziska Wildfeuer,Match Report,
,,,,,,,,,,,
6,Fri,2021-10-15,19:15 (12:15),Werder Bremen,1–0,Essen,253,Weserstadion Platz 11,Anna-Lena Heidenreich,Match Report,
6,Sat,2021-10-16,13:00 (06:00),Freiburg,1–2,Leverkusen,463,Möslestadion,Melissa Joos,Match Report,
