Wk,Day,Date,Time,HomeTeam,Score,AwayTeam,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,18:30 (11:30),FFC Frankfurt,3–2,Turbine Potsdam,"2,550",Stadion am Brentanobad,Angelika Söder,Match Report,
1,Sat,2019-08-17,13:00 (06:00),Freiburg,1–3,Bayern Munich,"2,212",Möslestadion,Christina Biehl,Match Report,
1,Sat,2019-08-17,13:00 (06:00),USV Jena,1–6,Hoffenheim,487,Ernst-Abbe-Sportfeld,Sandra Stolz,Match Report,
1,Sun,2019-08-18,14:00 (07:00),Köln,2–1,MSV Duisburg,574,Südstadion,Miriam Schweinefuß,Match Report,
1,Sun,2019-08-18,14:00 (07:00),Essen,3–1,Leverkusen,"1,254",Stadion Essen,Susann Kunkel,Match Report,
1,Sun,2019-08-18,14:00 (07:00),Wolfsburg,1–0,Sand,"1,948",AOK Stadion,Christine Weigelt ,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-23,19:15 (12:15),Bayern Munich,3–0,FFC Frankfurt,762,FC Bayern Campus Platz 1,Riem Hussein,Match Report,
2,Sat,2019-08-24,13:00 (06:00),Hoffenheim,4–0,Köln,280,Dietmar-Hopp-Stadion,Christine Weigelt ,Match Report,
2,Sun,2019-08-25,14:00 (07:00),Leverkusen,1–0,Freiburg,375,Jugendleistungszentrum Kurtekotten,Anna-Lena Heidenreich,Match Report,
2,Sun,2019-08-25,14:00 (07:00),MSV Duisburg,1–6,Wolfsburg,537,PCC-Stadion,Nadine Westerhoff,Match Report,
2,Sun,2019-08-25,14:00 (07:00),Turbine Potsdam,6–2,USV Jena,"1,400",Karl-Liebknecht-Stadion,Mirka Derlin,Match Report,
2,Sun,2019-08-25,14:00 (07:00),Sand,3–0,Essen,587,Orsay Stadion,Ines Appelmann,Match Report,
,,,,,,,,,,,
3,Fri,2019-09-13,19:15 (12:15),Köln,1–2,Turbine Potsdam,"1,010",Südstadion,Kathrin Heimann,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Freiburg,0–0,Sand,"1,483",Möslestadion,Karoline Wacker,Match Report,
3,Sun,2019-09-15,14:00 (07:00),FFC Frankfurt,4–2,USV Jena,"1,410",Stadion am Brentanobad,Fabienne Michel,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Wolfsburg,3–0,Hoffenheim,"1,902",AOK Stadion,Franziska Wildfeuer,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Essen,2–1,MSV Duisburg,"1,560",Stadion Essen,Melissa Joos,Match Report,
3,Sun,2019-09-15,14:00 (07:00),Bayern Munich,1–2,Leverkusen,592,FC Bayern Campus Platz 1,Sina Diekmann,Match Report,
,,,,,,,,,,,
4,Fri,2019-09-20,19:15 (12:15),Hoffenheim,7–0,Essen,640,Dietmar-Hopp-Stadion,Fabienne Michel,Match Report,
4,Sat,2019-09-21,13:00 (06:00),Turbine Potsdam,0–3,Wolfsburg,"2,032",Karl-Liebknecht-Stadion,Susann Kunkel,Match Report,
4,Sun,2019-09-22,14:00 (07:00),USV Jena,2–2,Köln,388,Ernst-Abbe-Sportfeld,Melissa Joos,Match Report,
4,Sun,2019-09-22,14:00 (07:00),Leverkusen,1–3,FFC Frankfurt,428,Ulrich-Haberland-Stadion,Nadine Westerhoff,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
4,Sun,2019-09-22,14:00 (07:00),MSV Duisburg,0–1,Freiburg,455,PCC-Stadion,Sina Diekmann,Match Report,
4,Sun,2019-09-22,14:00 (07:00),Sand,0–5,Bayern Munich,"2,164",Orsay Stadion,Christina Biehl,Match Report,
,,,,,,,,,,,
5,Fri,2019-09-27,19:15 (12:15),Leverkusen,1–2,Sand,467,Jugendleistungszentrum Kurtekotten,Susann Kunkel,Match Report,
5,Sat,2019-09-28,13:00 (06:00),Essen,2–0,Turbine Potsdam,"1,113",Stadion Essen,Anna-Lena Heidenreich,Match Report,
5,Sun,2019-09-29,14:00 (07:00),Bayern Munich,4–0,MSV Duisburg,498,FC Bayern Campus Platz 1,Kathrin Heimann,Match Report,
5,Sun,2019-09-29,14:00 (07:00),Freiburg,1–5,Hoffenheim,"1,188",Möslestadion,Melissa Joos,Match Report,
5,Sun,2019-09-29,14:00 (07:00),Wolfsburg,8–1,USV Jena,"1,473",AOK Stadion,Sandra Stolz,Match Report,
5,Sun,2019-09-29,14:00 (07:00),FFC Frankfurt,1–0,Köln,"1,360",Stadion am Brentanobad,Angelika Söder,Match Report,
,,,,,,,,,,,
6,Fri,2019-10-11,19:15 (12:15),Köln,0–5,Wolfsburg,890,Franz-Kremer-Stadion,Fabienne Michel,Match Report,
6,Sat,2019-10-12,13:00 (06:00),Hoffenheim,1–0,Bayern Munich,"1,650",Dietmar-Hopp-Stadion,Mirka Derlin,Match Report,
6,Sun,2019-10-13,14:00 (07:00),MSV Duisburg,2–1,Leverkusen,460,PCC-Stadion,Karoline Wacker,Match Report,
6,Sun,2019-10-13,14:00 (07:00),Turbine Potsdam,4–5,Freiburg,"1,471",Karl-Liebknecht-Stadion,Riem Hussein,Match Report,
6,Sun,2019-10-13,14:00 (07:00),Sand,3–0,FFC Frankfurt,523,Orsay Stadion,Christine Weigelt ,Match Report,
6,Sun,2019-10-13,14:00 (07:00),USV Jena,1–7,Essen,415,Ernst-Abbe-Sportfeld,Miriam Schweinefuß,Match Report,
,,,,,,,,,,,
7,Fri,2019-10-18,19:15 (12:15),Leverkusen,1–3,Hoffenheim,401,Ulrich-Haberland-Stadion,Anna-Lena Heidenreich,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Sand,0–2,MSV Duisburg,472,Orsay Stadion,Ines Appelmann,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Essen,3–1,Köln,967,Stadion Essen,Franziska Wildfeuer,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Freiburg,4–0,USV Jena,"1,011",Möslestadion,Kathrin Heimann,Match Report,
7,Sun,2019-10-20,14:00 (07:00),Bayern Munich,3–1,Turbine Potsdam,956,FC Bayern Campus Platz 1,Nadine Westerhoff,Match Report,
7,Sun,2019-10-20,14:00 (07:00),FFC Frankfurt,0–3,Wolfsburg,"2,050",Stadion am Brentanobad,Christina Biehl,Match Report,
,,,,,,,,,,,
8,Fri,2019-10-25,19:15 (12:15),Turbine Potsdam,1–0,Leverkusen,"1,095",Karl-Liebknecht-Stadion,Franziska Wildfeuer,Match Report,
Wk ,Day ,Date ,Time ,Home ,Score ,Away ,Attendance ,Venue ,Referee ,Match Report ,Notes
8,Sat,2019-10-26,13:00 (06:00),Wolfsburg,5–1,Essen,"1,569",AOK Stadion,Angelika Söder,Match Report,
8,Sun,2019-10-27,14:00 (08:00),Köln,2–4,Freiburg,550,Franz-Kremer-Stadion,Susann Kunkel,Match Report,
8,Sun,2019-10-27,14:00 (08:00),USV Jena,0–3,Bayern Munich,817,Ernst-Abbe-Sportfeld,Christine Weigelt ,Match Report,
8,Sun,2019-10-27,14:00 (08:00),Hoffenheim,1–0,Sand,470,Dietmar-Hopp-Stadion,Karoline Wacker,Match Report,
8,Sun,2019-10-27,14:00 (08:00),MSV Duisburg,1–2,FFC Frankfurt,494,PCC-Stadion,Sina Diekmann,Match Report,
,,,,,,,,,,,
