Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 28 2008,8:00p,Cleveland Cavaliers,85,Boston Celtics,90,Box Score,,18624,TD Banknorth Garden,
Tue Oct 28 2008,8:30p,Milwaukee Bucks,95,Chicago Bulls,108,Box Score,,21762,United Center,
Tue Oct 28 2008,10:30p,Portland Trail Blazers,76,Los Angeles Lakers,96,Box Score,,18997,STAPLES Center,
Wed Oct 29 2008,6:00p,Toronto Raptors,95,Philadelphia 76ers,84,Box Score,,15750,Wachovia Center,
Wed Oct 29 2008,7:00p,New Jersey Nets,95,Washington Wizards,85,Box Score,,20173,Verizon Center,
Wed Oct 29 2008,7:00p,Atlanta Hawks,99,Orlando Magic,85,Box Score,,17461,Amway Arena,
Wed Oct 29 2008,7:30p,Miami Heat,115,New York Knicks,120,Box Score,,19763,Madison Square Garden (IV),
Wed Oct 29 2008,8:00p,Phoenix Suns,103,San Antonio Spurs,98,Box Score,,18797,AT&T Center,
Wed Oct 29 2008,8:00p,Milwaukee Bucks,98,Oklahoma City Thunder,87,Box Score,,19136,Ford Center,
Wed Oct 29 2008,8:00p,Sacramento Kings,96,Minnesota Timberwolves,98,Box Score,,17820,Target Center,
Wed Oct 29 2008,8:00p,Indiana Pacers,94,Detroit Pistons,100,Box Score,,22076,The Palace of Auburn Hills,
Wed Oct 29 2008,8:30p,Memphis Grizzlies,71,Houston Rockets,82,Box Score,,18196,Toyota Center,
Wed Oct 29 2008,9:00p,Denver Nuggets,94,Utah Jazz,98,Box Score,,19911,EnergySolutions Arena,
Wed Oct 29 2008,10:30p,Los Angeles Lakers,117,Los Angeles Clippers,79,Box Score,,19060,STAPLES Center,
Wed Oct 29 2008,10:30p,New Orleans Hornets,108,Golden State Warriors,103,Box Score,,19128,Oracle Arena,
Thu Oct 30 2008,7:00p,Charlotte Bobcats,79,Cleveland Cavaliers,96,Box Score,,20562,Quicken Loans Arena,
Thu Oct 30 2008,8:00p,Houston Rockets,112,Dallas Mavericks,102,Box Score,,20066,American Airlines Center,
Thu Oct 30 2008,10:30p,New Orleans Hornets,108,Phoenix Suns,95,Box Score,,18422,US Airways Center,
Fri Oct 31 2008,7:00p,New York Knicks,87,Philadelphia 76ers,116,Box Score,,11717,Wachovia Center,
Fri Oct 31 2008,7:00p,Golden State Warriors,108,Toronto Raptors,112,Box Score,OT,19800,Air Canada Centre,
Fri Oct 31 2008,7:30p,Sacramento Kings,77,Miami Heat,103,Box Score,,19600,AmericanAirlines Arena,
Fri Oct 31 2008,8:00p,Chicago Bulls,80,Boston Celtics,96,Box Score,,18624,TD Banknorth Garden,
Fri Oct 31 2008,8:00p,Orlando Magic,84,Memphis Grizzlies,86,Box Score,,16139,FedEx Forum,
Fri Oct 31 2008,10:30p,Denver Nuggets,113,Los Angeles Clippers,103,Box Score,OT,11418,STAPLES Center,
Fri Oct 31 2008,10:30p,San Antonio Spurs,99,Portland Trail Blazers,100,Box Score,,20516,Rose Garden Arena,
Sat Nov 1 2008,7:00p,Philadelphia 76ers,88,Atlanta Hawks,95,Box Score,,19651,Philips Arena,
Sat Nov 1 2008,7:00p,Miami Heat,87,Charlotte Bobcats,100,Box Score,,19238,Time Warner Cable Arena,
Sat Nov 1 2008,7:00p,Boston Celtics,79,Indiana Pacers,95,Box Score,,18165,Conseco Fieldhouse,
Sat Nov 1 2008,7:00p,Sacramento Kings,103,Orlando Magic,121,Box Score,,16704,Amway Arena,
Sat Nov 1 2008,7:30p,Washington Wizards,109,Detroit Pistons,117,Box Score,,22076,The Palace of Auburn Hills,
Sat Nov 1 2008,7:30p,Golden State Warriors,105,New Jersey Nets,97,Box Score,,17390,Izod Center,
Sat Nov 1 2008,8:00p,Dallas Mavericks,95,Minnesota Timberwolves,85,Box Score,,16893,Target Center,
Sat Nov 1 2008,8:00p,Cleveland Cavaliers,92,New Orleans Hornets,104,Box Score,,18150,New Orleans Arena,
Sat Nov 1 2008,8:30p,Memphis Grizzlies,86,Chicago Bulls,96,Box Score,,21785,United Center,
Sat Nov 1 2008,8:30p,Oklahoma City Thunder,77,Houston Rockets,89,Box Score,,16996,Toyota Center,
Sat Nov 1 2008,8:30p,Toronto Raptors,91,Milwaukee Bucks,87,Box Score,,17036,Bradley Center,
Sat Nov 1 2008,9:00p,Los Angeles Lakers,104,Denver Nuggets,97,Box Score,,19651,Pepsi Center,
Sat Nov 1 2008,9:00p,Los Angeles Clippers,79,Utah Jazz,101,Box Score,,19602,EnergySolutions Arena,
Sat Nov 1 2008,10:00p,Portland Trail Blazers,96,Phoenix Suns,107,Box Score,,18422,US Airways Center,
Sun Nov 2 2008,6:00p,Milwaukee Bucks,94,New York Knicks,86,Box Score,,18190,Madison Square Garden (IV),
Sun Nov 2 2008,7:00p,Minnesota Timberwolves,85,Oklahoma City Thunder,88,Box Score,,18163,Ford Center,
Mon Nov 3 2008,7:00p,Detroit Pistons,101,Charlotte Bobcats,83,Box Score,,11023,Time Warner Cable Arena,
Mon Nov 3 2008,7:00p,Chicago Bulls,93,Orlando Magic,96,Box Score,,15606,Amway Arena,
Mon Nov 3 2008,7:00p,Sacramento Kings,91,Philadelphia 76ers,125,Box Score,,10100,Wachovia Center,
Mon Nov 3 2008,8:00p,Golden State Warriors,79,Memphis Grizzlies,90,Box Score,,10121,FedEx Forum,
Mon Nov 3 2008,8:30p,Cleveland Cavaliers,100,Dallas Mavericks,81,Box Score,,19923,American Airlines Center,
Mon Nov 3 2008,10:30p,Utah Jazz,89,Los Angeles Clippers,73,Box Score,,12712,STAPLES Center,
Tue Nov 4 2008,7:30p,Phoenix Suns,114,New Jersey Nets,86,Box Score,,15230,Izod Center,
Tue Nov 4 2008,8:30p,Boston Celtics,103,Houston Rockets,99,Box Score,,18291,Toyota Center,
Tue Nov 4 2008,8:30p,Dallas Mavericks,98,San Antonio Spurs,81,Box Score,,17398,AT&T Center,
Wed Nov 5 2008,7:00p,Phoenix Suns,113,Indiana Pacers,103,Box Score,,11660,Conseco Fieldhouse,
Wed Nov 5 2008,7:00p,Detroit Pistons,100,Toronto Raptors,93,Box Score,,18602,Air Canada Centre,
Wed Nov 5 2008,7:30p,Philadelphia 76ers,83,Miami Heat,106,Box Score,,15103,AmericanAirlines Arena,
Wed Nov 5 2008,7:30p,Charlotte Bobcats,98,New York Knicks,101,Box Score,,17977,Madison Square Garden (IV),
Wed Nov 5 2008,8:00p,Chicago Bulls,93,Cleveland Cavaliers,107,Box Score,,20562,Quicken Loans Arena,
Wed Nov 5 2008,8:00p,Washington Wizards,104,Milwaukee Bucks,112,Box Score,OT,13895,Bradley Center,
Wed Nov 5 2008,8:00p,San Antonio Spurs,129,Minnesota Timberwolves,125,Box Score,2OT,11112,Target Center,
Wed Nov 5 2008,8:00p,Atlanta Hawks,87,New Orleans Hornets,79,Box Score,,16030,New Orleans Arena,
Wed Nov 5 2008,8:00p,Boston Celtics,96,Oklahoma City Thunder,83,Box Score,,19136,Ford Center,
Wed Nov 5 2008,9:00p,Portland Trail Blazers,96,Utah Jazz,103,Box Score,,19911,EnergySolutions Arena,
Wed Nov 5 2008,10:00p,Memphis Grizzlies,95,Sacramento Kings,100,Box Score,,13685,ARCO Arena (II),
Wed Nov 5 2008,10:30p,Denver Nuggets,101,Golden State Warriors,111,Box Score,,18194,Oracle Arena,
Wed Nov 5 2008,10:30p,Los Angeles Clippers,88,Los Angeles Lakers,106,Box Score,,18997,STAPLES Center,
Thu Nov 6 2008,8:00p,Philadelphia 76ers,88,Orlando Magic,98,Box Score,,16407,Amway Arena,
Thu Nov 6 2008,10:30p,Houston Rockets,99,Portland Trail Blazers,101,Box Score,OT,20611,Rose Garden Arena,
Fri Nov 7 2008,7:00p,New Orleans Hornets,89,Charlotte Bobcats,92,Box Score,,13435,Time Warner Cable Arena,
Fri Nov 7 2008,7:00p,New York Knicks,114,Washington Wizards,108,Box Score,,20173,Verizon Center,
Fri Nov 7 2008,7:30p,Toronto Raptors,92,Atlanta Hawks,110,Box Score,,18290,Philips Arena,
Fri Nov 7 2008,7:30p,Milwaukee Bucks,89,Boston Celtics,101,Box Score,,18624,TD Banknorth Garden,
Fri Nov 7 2008,7:30p,Indiana Pacers,107,Cleveland Cavaliers,111,Box Score,,20562,Quicken Loans Arena,
Fri Nov 7 2008,7:30p,Detroit Pistons,96,New Jersey Nets,103,Box Score,,17767,Izod Center,
Fri Nov 7 2008,8:00p,Miami Heat,99,San Antonio Spurs,83,Box Score,,17387,AT&T Center,
Fri Nov 7 2008,8:30p,Phoenix Suns,83,Chicago Bulls,100,Box Score,,21967,United Center,
Fri Nov 7 2008,9:00p,Oklahoma City Thunder,97,Utah Jazz,104,Box Score,,19911,EnergySolutions Arena,
Fri Nov 7 2008,10:00p,Minnesota Timberwolves,109,Sacramento Kings,121,Box Score,,10592,ARCO Arena (II),
Fri Nov 7 2008,10:30p,Dallas Mavericks,105,Denver Nuggets,108,Box Score,,19175,Pepsi Center,
Fri Nov 7 2008,10:30p,Memphis Grizzlies,109,Golden State Warriors,104,Box Score,,18744,Oracle Arena,
Fri Nov 7 2008,10:30p,Houston Rockets,92,Los Angeles Clippers,83,Box Score,,14670,STAPLES Center,
Sat Nov 8 2008,7:00p,New Jersey Nets,80,Indiana Pacers,98,Box Score,,14355,Conseco Fieldhouse,
Sat Nov 8 2008,7:00p,Washington Wizards,81,Orlando Magic,106,Box Score,,16911,Amway Arena,
Sat Nov 8 2008,8:00p,Miami Heat,89,New Orleans Hornets,100,Box Score,,17701,New Orleans Arena,
Sat Nov 8 2008,8:30p,Cleveland Cavaliers,106,Chicago Bulls,97,Box Score,,21965,United Center,
