Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 30 2007,8:00p,Portland Trail Blazers,97,San Antonio Spurs,106,Box Score,,18797,AT&T Center,
Tue Oct 30 2007,10:30p,Utah Jazz,117,Golden State Warriors,96,Box Score,,19832,Oracle Arena,
Tue Oct 30 2007,10:30p,Houston Rockets,95,Los Angeles Lakers,93,Box Score,,18997,STAPLES Center,
Wed Oct 31 2007,7:00p,Washington Wizards,110,Indiana Pacers,119,Box Score,OT,16212,Conseco Fieldhouse,
Wed Oct 31 2007,7:00p,Milwaukee Bucks,83,Orlando Magic,102,Box Score,,17519,Amway Arena,
Wed Oct 31 2007,7:00p,Philadelphia 76ers,97,Toronto Raptors,106,Box Score,,19800,Air Canada Centre,
Wed Oct 31 2007,7:30p,Chicago Bulls,103,New Jersey Nets,112,Box Score,OT,17342,Izod Center,
Wed Oct 31 2007,8:00p,Dallas Mavericks,92,Cleveland Cavaliers,74,Box Score,,20562,Quicken Loans Arena,
Wed Oct 31 2007,8:00p,San Antonio Spurs,104,Memphis Grizzlies,101,Box Score,,17538,FedEx Forum,
Wed Oct 31 2007,8:00p,Sacramento Kings,90,New Orleans Hornets,104,Box Score,,15188,New Orleans Arena,
Wed Oct 31 2007,10:30p,Seattle SuperSonics,103,Denver Nuggets,120,Box Score,,19380,Pepsi Center,
Thu Nov 1 2007,8:00p,Detroit Pistons,91,Miami Heat,80,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 1 2007,9:00p,Houston Rockets,106,Utah Jazz,95,Box Score,,19911,EnergySolutions Arena,
Thu Nov 1 2007,10:30p,Phoenix Suns,106,Seattle SuperSonics,99,Box Score,,17072,KeyArena at Seattle Center,
Fri Nov 2 2007,7:00p,Milwaukee Bucks,99,Charlotte Bobcats,102,Box Score,,16368,Charlotte Bobcats Arena,
Fri Nov 2 2007,7:00p,Miami Heat,85,Indiana Pacers,87,Box Score,,12887,Conseco Fieldhouse,
Fri Nov 2 2007,7:00p,Detroit Pistons,116,Orlando Magic,92,Box Score,,17519,Amway Arena,
Fri Nov 2 2007,7:30p,Dallas Mavericks,94,Atlanta Hawks,101,Box Score,,19767,Philips Arena,
Fri Nov 2 2007,7:30p,New York Knicks,106,Cleveland Cavaliers,110,Box Score,,20562,Quicken Loans Arena,
Fri Nov 2 2007,7:30p,Toronto Raptors,106,New Jersey Nets,69,Box Score,,14980,Izod Center,
Fri Nov 2 2007,8:00p,Washington Wizards,83,Boston Celtics,103,Box Score,,18624,TD Banknorth Garden,
Fri Nov 2 2007,8:00p,Denver Nuggets,99,Minnesota Timberwolves,91,Box Score,,19443,Target Center,
