Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 27 2009,7:30p,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,20562,Quicken Loans Arena,
Tue Oct 27 2009,8:30p,Washington Wizards,102,Dallas Mavericks,91,Box Score,,19871,American Airlines Center,
Tue Oct 27 2009,10:00p,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,20403,Rose Garden Arena,
Tue Oct 27 2009,10:30p,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,18997,STAPLES Center,
Wed Oct 28 2009,7:00p,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,17998,Philips Arena,
Wed Oct 28 2009,7:00p,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,20152,Air Canada Centre,
Wed Oct 28 2009,7:00p,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,17461,Amway Arena,
Wed Oct 28 2009,7:30p,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,18624,TD Garden,
Wed Oct 28 2009,7:30p,New York Knicks,93,Miami Heat,115,Box Score,,19600,AmericanAirlines Arena,
Wed Oct 28 2009,8:00p,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,18203,Oklahoma City Arena,
Wed Oct 28 2009,8:00p,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,18581,AT&T Center,
Wed Oct 28 2009,8:00p,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,18358,Target Center,
Wed Oct 28 2009,8:00p,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,17212,FedEx Forum,
Wed Oct 28 2009,10:30p,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,15974,STAPLES Center,
Wed Oct 28 2009,10:30p,Houston Rockets,108,Golden State Warriors,107,Box Score,,19596,Oracle Arena,
Wed Oct 28 2009,10:30p,Utah Jazz,105,Denver Nuggets,114,Box Score,,19155,Pepsi Center,
Thu Oct 29 2009,8:00p,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,21412,United Center,
Thu Oct 29 2009,10:30p,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,20218,Rose Garden Arena,
Fri Oct 30 2009,7:00p,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,18624,Time Warner Cable Arena,
Fri Oct 30 2009,7:00p,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,14638,Wachovia Center,
Fri Oct 30 2009,7:30p,Washington Wizards,89,Atlanta Hawks,100,Box Score,,17079,Philips Arena,
Fri Oct 30 2009,8:00p,Chicago Bulls,90,Boston Celtics,118,Box Score,,18624,TD Garden,
Fri Oct 30 2009,8:00p,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,17306,New Orleans Arena,
Fri Oct 30 2009,8:00p,Orlando Magic,95,New Jersey Nets,85,Box Score,,17525,Izod Center,
Fri Oct 30 2009,8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,19356,Target Center,
Fri Oct 30 2009,8:00p,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,10563,FedEx Forum,
Fri Oct 30 2009,8:00p,Miami Heat,96,Indiana Pacers,83,Box Score,,18165,Conseco Fieldhouse,
Fri Oct 30 2009,8:00p,Oklahoma City Thunder,91,Detroit Pistons,83,Box Score,,22076,The Palace of Auburn Hills,
Fri Oct 30 2009,9:00p,Los Angeles Clippers,98,Utah Jazz,111,Box Score,,19911,EnergySolutions Arena,
Fri Oct 30 2009,10:00p,Golden State Warriors,101,Phoenix Suns,123,Box Score,,18422,US Airways Center,
Fri Oct 30 2009,10:30p,Dallas Mavericks,94,Los Angeles Lakers,80,Box Score,,18997,STAPLES Center,
Sat Oct 31 2009,7:00p,New Jersey Nets,104,Washington Wizards,123,Box Score,,20173,Verizon Center,
Sat Oct 31 2009,7:30p,Charlotte Bobcats,79,Cleveland Cavaliers,90,Box Score,,20562,Quicken Loans Arena,
Sat Oct 31 2009,7:30p,Philadelphia 76ers,141,New York Knicks,127,Box Score,OT,19763,Madison Square Garden (IV),
Sat Oct 31 2009,8:30p,Portland Trail Blazers,107,Houston Rockets,111,Box Score,,18100,Toyota Center,
Sat Oct 31 2009,8:30p,Detroit Pistons,85,Milwaukee Bucks,96,Box Score,,15095,Bradley Center,
Sat Oct 31 2009,8:30p,Sacramento Kings,94,San Antonio Spurs,113,Box Score,,16966,AT&T Center,
Sat Oct 31 2009,10:30p,Dallas Mavericks,93,Los Angeles Clippers,84,Box Score,,13626,STAPLES Center,
Sun Nov 1 2009,1:00p,Orlando Magic,125,Toronto Raptors,116,Box Score,,18147,Air Canada Centre,
Sun Nov 1 2009,6:00p,New Orleans Hornets,87,Boston Celtics,97,Box Score,,18624,TD Garden,
Sun Nov 1 2009,6:00p,Chicago Bulls,87,Miami Heat,95,Box Score,,15865,AmericanAirlines Arena,
Sun Nov 1 2009,7:00p,Portland Trail Blazers,83,Oklahoma City Thunder,74,Box Score,,16920,Oklahoma City Arena,
Sun Nov 1 2009,8:00p,Memphis Grizzlies,123,Denver Nuggets,133,Box Score,,15823,Pepsi Center,
Sun Nov 1 2009,8:00p,Minnesota Timberwolves,112,Phoenix Suns,120,Box Score,,15376,US Airways Center,
Sun Nov 1 2009,9:30p,Atlanta Hawks,110,Los Angeles Lakers,118,Box Score,,18997,STAPLES Center,
Mon Nov 2 2009,7:00p,New Jersey Nets,68,Charlotte Bobcats,79,Box Score,,9380,Time Warner Cable Arena,
Mon Nov 2 2009,7:30p,New Orleans Hornets,111,New York Knicks,117,Box Score,,19763,Madison Square Garden (IV),
Mon Nov 2 2009,9:00p,Houston Rockets,113,Utah Jazz,96,Box Score,,19911,EnergySolutions Arena,
Mon Nov 2 2009,10:00p,Memphis Grizzlies,116,Sacramento Kings,127,Box Score,OT,17317,Power Balance Pavilion,
Mon Nov 2 2009,10:30p,Minnesota Timberwolves,90,Los Angeles Clippers,93,Box Score,,13614,STAPLES Center,
Tue Nov 3 2009,7:00p,Washington Wizards,90,Cleveland Cavaliers,102,Box Score,,20562,Quicken Loans Arena,
Tue Nov 3 2009,7:00p,Denver Nuggets,111,Indiana Pacers,93,Box Score,,10627,Conseco Fieldhouse,
Tue Nov 3 2009,7:00p,Boston Celtics,105,Philadelphia 76ers,74,Box Score,,11251,Wachovia Center,
Tue Nov 3 2009,7:30p,Orlando Magic,80,Detroit Pistons,85,Box Score,,15487,The Palace of Auburn Hills,
Tue Nov 3 2009,7:30p,Phoenix Suns,104,Miami Heat,96,Box Score,,15105,AmericanAirlines Arena,
Tue Nov 3 2009,8:00p,Milwaukee Bucks,81,Chicago Bulls,83,Box Score,,19789,United Center,
Tue Nov 3 2009,8:00p,Los Angeles Lakers,101,Oklahoma City Thunder,98,Box Score,OT,18203,Oklahoma City Arena,
Tue Nov 3 2009,8:30p,Utah Jazz,85,Dallas Mavericks,96,Box Score,,19725,American Airlines Center,
Tue Nov 3 2009,10:00p,Atlanta Hawks,97,Portland Trail Blazers,91,Box Score,,20325,Rose Garden Arena,
Wed Nov 4 2009,7:00p,Phoenix Suns,100,Orlando Magic,122,Box Score,,17461,Amway Arena,
Wed Nov 4 2009,7:00p,Detroit Pistons,99,Toronto Raptors,110,Box Score,,17915,Air Canada Centre,
Wed Nov 4 2009,7:00p,Miami Heat,93,Washington Wizards,89,Box Score,,17413,Verizon Center,
Wed Nov 4 2009,7:30p,Denver Nuggets,122,New Jersey Nets,94,Box Score,,15319,Izod Center,
Wed Nov 4 2009,7:30p,Indiana Pacers,101,New York Knicks,89,Box Score,,19273,Madison Square Garden (IV),
Wed Nov 4 2009,8:00p,Boston Celtics,92,Minnesota Timberwolves,90,Box Score,,19133,Target Center,
Wed Nov 4 2009,8:30p,Los Angeles Lakers,103,Houston Rockets,102,Box Score,OT,18291,Toyota Center,
Wed Nov 4 2009,9:30p,Dallas Mavericks,107,New Orleans Hornets,114,Box Score,OT,13566,New Orleans Arena,
Wed Nov 4 2009,10:00p,Atlanta Hawks,113,Sacramento Kings,105,Box Score,,11751,Power Balance Pavilion,
Wed Nov 4 2009,10:30p,Memphis Grizzlies,105,Golden State Warriors,113,Box Score,,17457,Oracle Arena,
Thu Nov 5 2009,8:00p,Chicago Bulls,86,Cleveland Cavaliers,85,Box Score,,20562,Quicken Loans Arena,
Thu Nov 5 2009,10:30p,San Antonio Spurs,99,Utah Jazz,113,Box Score,,19797,EnergySolutions Arena,
Fri Nov 6 2009,7:00p,Atlanta Hawks,83,Charlotte Bobcats,103,Box Score,,15874,Time Warner Cable Arena,
Fri Nov 6 2009,7:00p,Washington Wizards,86,Indiana Pacers,102,Box Score,,14556,Conseco Fieldhouse,
Fri Nov 6 2009,7:00p,Detroit Pistons,103,Orlando Magic,110,Box Score,,17461,Amway Arena,
Fri Nov 6 2009,7:00p,New Jersey Nets,94,Philadelphia 76ers,97,Box Score,,10054,Wachovia Center,
Fri Nov 6 2009,7:30p,Phoenix Suns,110,Boston Celtics,103,Box Score,,18624,TD Garden,
Fri Nov 6 2009,7:30p,Denver Nuggets,88,Miami Heat,96,Box Score,,19600,AmericanAirlines Arena,
Fri Nov 6 2009,8:00p,Milwaukee Bucks,87,Minnesota Timberwolves,72,Box Score,,13758,Target Center,
Fri Nov 6 2009,8:00p,Toronto Raptors,107,New Orleans Hornets,90,Box Score,,15010,New Orleans Arena,
Fri Nov 6 2009,8:00p,Cleveland Cavaliers,100,New York Knicks,91,Box Score,,19763,Madison Square Garden (IV),
Fri Nov 6 2009,8:30p,Oklahoma City Thunder,94,Houston Rockets,105,Box Score,,14911,Toyota Center,
Fri Nov 6 2009,10:30p,Los Angeles Clippers,118,Golden State Warriors,90,Box Score,,18788,Oracle Arena,
Fri Nov 6 2009,10:30p,Memphis Grizzlies,98,Los Angeles Lakers,114,Box Score,,18997,STAPLES Center,
Fri Nov 6 2009,10:30p,San Antonio Spurs,84,Portland Trail Blazers,96,Box Score,,20498,Rose Garden Arena,
Sat Nov 7 2009,7:00p,Denver Nuggets,100,Atlanta Hawks,125,Box Score,,17801,Philips Arena,
Sat Nov 7 2009,7:30p,Boston Celtics,86,New Jersey Nets,76,Box Score,,16119,Izod Center,
Sat Nov 7 2009,8:00p,Charlotte Bobcats,90,Chicago Bulls,93,Box Score,,21108,United Center,
Sat Nov 7 2009,8:30p,Toronto Raptors,101,Dallas Mavericks,129,Box Score,,19977,American Airlines Center,
Sat Nov 7 2009,8:30p,New York Knicks,87,Milwaukee Bucks,102,Box Score,,15486,Bradley Center,
Sat Nov 7 2009,9:00p,Sacramento Kings,104,Utah Jazz,99,Box Score,,18825,EnergySolutions Arena,
Sat Nov 7 2009,10:30p,Memphis Grizzlies,110,Los Angeles Clippers,113,Box Score,,15399,STAPLES Center,
Sun Nov 8 2009,1:00p,Philadelphia 76ers,81,Detroit Pistons,88,Box Score,,17187,The Palace of Auburn Hills,
Sun Nov 8 2009,1:00p,Phoenix Suns,102,Washington Wizards,90,Box Score,,14143,Verizon Center,
Sun Nov 8 2009,7:00p,Orlando Magic,74,Oklahoma City Thunder,102,Box Score,,18203,Oklahoma City Arena,
Sun Nov 8 2009,9:00p,Minnesota Timberwolves,93,Portland Trail Blazers,116,Box Score,,20306,Rose Garden Arena,
Sun Nov 8 2009,9:00p,Golden State Warriors,107,Sacramento Kings,120,Box Score,,10760,Power Balance Pavilion,
Sun Nov 8 2009,9:30p,New Orleans Hornets,88,Los Angeles Lakers,104,Box Score,,18997,STAPLES Center,
Mon Nov 9 2009,7:00p,Phoenix Suns,119,Philadelphia 76ers,115,Box Score,,10205,Wachovia Center,
Mon Nov 9 2009,7:30p,Utah Jazz,95,New York Knicks,93,Box Score,,19355,Madison Square Garden (IV),
Mon Nov 9 2009,8:30p,Toronto Raptors,124,San Antonio Spurs,131,Box Score,,17714,AT&T Center,
Mon Nov 9 2009,10:30p,Minnesota Timberwolves,105,Golden State Warriors,146,Box Score,,15468,Oracle Arena,
Mon Nov 9 2009,10:30p,New Orleans Hornets,112,Los Angeles Clippers,84,Box Score,,14760,STAPLES Center,
Tue Nov 10 2009,7:00p,Orlando Magic,93,Charlotte Bobcats,81,Box Score,,13415,Time Warner Cable Arena,
Tue Nov 10 2009,7:30p,Washington Wizards,76,Miami Heat,90,Box Score,,15054,AmericanAirlines Arena,
Tue Nov 10 2009,8:00p,Denver Nuggets,90,Chicago Bulls,89,Box Score,,21409,United Center,
Tue Nov 10 2009,8:00p,Portland Trail Blazers,93,Memphis Grizzlies,79,Box Score,,10589,FedEx Forum,
Tue Nov 10 2009,8:30p,Houston Rockets,103,Dallas Mavericks,121,Box Score,,19720,American Airlines Center,
Tue Nov 10 2009,10:00p,Oklahoma City Thunder,98,Sacramento Kings,101,Box Score,,10523,Power Balance Pavilion,
Wed Nov 11 2009,7:00p,Golden State Warriors,94,Indiana Pacers,108,Box Score,,10682,Conseco Fieldhouse,
Wed Nov 11 2009,7:00p,Chicago Bulls,89,Toronto Raptors,99,Box Score,,16310,Air Canada Centre,
Wed Nov 11 2009,7:30p,Utah Jazz,86,Boston Celtics,105,Box Score,,18624,TD Garden,
Wed Nov 11 2009,7:30p,Charlotte Bobcats,75,Detroit Pistons,98,Box Score,,15417,The Palace of Auburn Hills,
Wed Nov 11 2009,7:30p,Philadelphia 76ers,82,New Jersey Nets,79,Box Score,,10714,Izod Center,
Wed Nov 11 2009,7:30p,Atlanta Hawks,114,New York Knicks,101,Box Score,,19699,Madison Square Garden (IV),
Wed Nov 11 2009,8:00p,Denver Nuggets,102,Milwaukee Bucks,108,Box Score,,12987,Bradley Center,
Wed Nov 11 2009,8:00p,Portland Trail Blazers,107,Minnesota Timberwolves,84,Box Score,,13555,Target Center,
Wed Nov 11 2009,8:00p,Cleveland Cavaliers,102,Orlando Magic,93,Box Score,,17461,Amway Arena,
Wed Nov 11 2009,8:30p,Memphis Grizzlies,79,Houston Rockets,104,Box Score,,17220,Toyota Center,
Wed Nov 11 2009,8:30p,Dallas Mavericks,83,San Antonio Spurs,92,Box Score,,18581,AT&T Center,
Wed Nov 11 2009,10:30p,Oklahoma City Thunder,83,Los Angeles Clippers,79,Box Score,,14248,STAPLES Center,
Wed Nov 11 2009,10:30p,New Orleans Hornets,104,Phoenix Suns,124,Box Score,,16517,US Airways Center,
Thu Nov 12 2009,8:00p,Cleveland Cavaliers,111,Miami Heat,104,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 12 2009,10:30p,Phoenix Suns,102,Los Angeles Lakers,121,Box Score,,18997,STAPLES Center,
Fri Nov 13 2009,7:00p,New Jersey Nets,72,Orlando Magic,88,Box Score,,17461,Amway Arena,
Fri Nov 13 2009,7:00p,Utah Jazz,112,Philadelphia 76ers,90,Box Score,,10738,Wachovia Center,
Fri Nov 13 2009,7:30p,Golden State Warriors,121,New York Knicks,107,Box Score,,19763,Madison Square Garden (IV),
Fri Nov 13 2009,8:00p,Atlanta Hawks,97,Boston Celtics,86,Box Score,,18624,TD Garden,
Fri Nov 13 2009,8:00p,Dallas Mavericks,89,Minnesota Timberwolves,77,Box Score,,12372,Target Center,
Fri Nov 13 2009,8:00p,Portland Trail Blazers,86,New Orleans Hornets,78,Box Score,,14742,New Orleans Arena,
Fri Nov 13 2009,10:00p,Houston Rockets,100,Sacramento Kings,109,Box Score,,11762,Power Balance Pavilion,
Fri Nov 13 2009,10:30p,Los Angeles Lakers,79,Denver Nuggets,105,Box Score,,19141,Pepsi Center,
Fri Nov 13 2009,10:30p,Toronto Raptors,104,Los Angeles Clippers,89,Box Score,,15615,STAPLES Center,
Sat Nov 14 2009,7:00p,New Orleans Hornets,98,Atlanta Hawks,121,Box Score,,18572,Philips Arena,
Sat Nov 14 2009,7:00p,Portland Trail Blazers,80,Charlotte Bobcats,74,Box Score,,15872,Time Warner Cable Arena,
Sat Nov 14 2009,7:00p,Boston Celtics,104,Indiana Pacers,113,Box Score,,18165,Conseco Fieldhouse,
Sat Nov 14 2009,7:00p,Detroit Pistons,106,Washington Wizards,103,Box Score,,20173,Verizon Center,
Sat Nov 14 2009,7:30p,Utah Jazz,103,Cleveland Cavaliers,107,Box Score,,20562,Quicken Loans Arena,
Sat Nov 14 2009,7:30p,New Jersey Nets,80,Miami Heat,81,Box Score,,17124,AmericanAirlines Arena,
Sat Nov 14 2009,8:00p,Philadelphia 76ers,88,Chicago Bulls,94,Box Score,,21837,United Center,
Sat Nov 14 2009,8:00p,Minnesota Timberwolves,87,Memphis Grizzlies,97,Box Score,,10019,FedEx Forum,
Sat Nov 14 2009,8:30p,Golden State Warriors,125,Milwaukee Bucks,129,Box Score,,14978,Bradley Center,
Sat Nov 14 2009,8:30p,Oklahoma City Thunder,101,San Antonio Spurs,98,Box Score,,17947,AT&T Center,
Sun Nov 15 2009,6:00p,Dallas Mavericks,95,Detroit Pistons,90,Box Score,,18215,The Palace of Auburn Hills,
Sun Nov 15 2009,7:00p,Los Angeles Clippers,101,Oklahoma City Thunder,93,Box Score,,17715,Oklahoma City Arena,
Sun Nov 15 2009,8:00p,Toronto Raptors,100,Phoenix Suns,101,Box Score,,16605,US Airways Center,
Sun Nov 15 2009,9:30p,Houston Rockets,101,Los Angeles Lakers,91,Box Score,,18997,STAPLES Center,
Mon Nov 16 2009,7:00p,Portland Trail Blazers,95,Atlanta Hawks,99,Box Score,OT,12977,Philips Arena,
Mon Nov 16 2009,7:00p,Charlotte Bobcats,91,Orlando Magic,97,Box Score,,17461,Amway Arena,
Mon Nov 16 2009,8:00p,Dallas Mavericks,115,Milwaukee Bucks,113,Box Score,OT,13683,Bradley Center,
Tue Nov 17 2009,7:00p,Golden State Warriors,108,Cleveland Cavaliers,114,Box Score,,20562,Quicken Loans Arena,
Tue Nov 17 2009,7:30p,Oklahoma City Thunder,100,Miami Heat,87,Box Score,,14443,AmericanAirlines Arena,
Tue Nov 17 2009,7:30p,Indiana Pacers,91,New Jersey Nets,83,Box Score,,11332,Izod Center,
Tue Nov 17 2009,8:00p,Los Angeles Clippers,102,New Orleans Hornets,110,Box Score,,13116,New Orleans Arena,
Tue Nov 17 2009,8:30p,Phoenix Suns,111,Houston Rockets,105,Box Score,,16396,Toyota Center,
Tue Nov 17 2009,9:00p,Toronto Raptors,112,Denver Nuggets,130,Box Score,,16446,Pepsi Center,
Tue Nov 17 2009,10:00p,Chicago Bulls,101,Sacramento Kings,87,Box Score,,12634,Power Balance Pavilion,
Tue Nov 17 2009,10:30p,Detroit Pistons,93,Los Angeles Lakers,106,Box Score,,18997,STAPLES Center,
Wed Nov 18 2009,7:00p,Miami Heat,90,Atlanta Hawks,105,Box Score,,18729,Philips Arena,
Wed Nov 18 2009,7:00p,New York Knicks,110,Indiana Pacers,103,Box Score,,12258,Conseco Fieldhouse,
