Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 30 2012,7:00p,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,20562,Quicken Loans Arena,
Tue Oct 30 2012,8:00p,Boston Celtics,107,Miami Heat,120,Box Score,,20296,AmericanAirlines Arena,
Tue Oct 30 2012,10:30p,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,18997,STAPLES Center,
Wed Oct 31 2012,7:00p,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,19101,Wells Fargo Center,
Wed Oct 31 2012,7:00p,Indiana Pacers,90,Toronto Raptors,88,Box Score,,19800,Air Canada Centre,
Wed Oct 31 2012,7:30p,Houston Rockets,105,Detroit Pistons,96,Box Score,,16646,The Palace of Auburn Hills,
Wed Oct 31 2012,8:00p,Sacramento Kings,87,Chicago Bulls,93,Box Score,,21313,United Center,
Wed Oct 31 2012,8:00p,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,15358,New Orleans Arena,
Wed Oct 31 2012,9:00p,Dallas Mavericks,94,Utah Jazz,113,Box Score,,17634,EnergySolutions Arena,
Wed Oct 31 2012,10:00p,Golden State Warriors,87,Phoenix Suns,85,Box Score,,15678,US Airways Center,
Wed Oct 31 2012,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,19060,STAPLES Center,
Wed Oct 31 2012,10:30p,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,20401,Rose Garden Arena,
Thu Nov 1 2012,9:30p,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,18581,AT&T Center,
Fri Nov 2 2012,7:00p,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,19124,Time Warner Cable Arena,
Fri Nov 2 2012,7:00p,Denver Nuggets,89,Orlando Magic,102,Box Score,,18846,Amway Center,
Fri Nov 2 2012,7:30p,Houston Rockets,109,Atlanta Hawks,102,Box Score,,18238,Philips Arena,
Fri Nov 2 2012,7:30p,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,18624,TD Garden,
Fri Nov 2 2012,7:30p,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,20562,Quicken Loans Arena,
Fri Nov 2 2012,8:00p,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,19356,Target Center,
Fri Nov 2 2012,8:00p,Utah Jazz,86,New Orleans Hornets,88,Box Score,,14147,New Orleans Arena,
Fri Nov 2 2012,8:00p,Miami Heat,84,New York Knicks,104,Box Score,,19033,Madison Square Garden (IV),
Fri Nov 2 2012,8:00p,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 2 2012,10:00p,Detroit Pistons,89,Phoenix Suns,92,Box Score,,15107,US Airways Center,
Fri Nov 2 2012,10:30p,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,19596,Oracle Arena,
Fri Nov 2 2012,10:30p,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,18997,STAPLES Center,
Sat Nov 3 2012,7:00p,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,18165,Bankers Life Fieldhouse,
Sat Nov 3 2012,7:00p,Boston Celtics,89,Washington Wizards,86,Box Score,,20308,Verizon Center,
Sat Nov 3 2012,7:30p,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,17732,Barclays Center,
Sat Nov 3 2012,7:30p,Denver Nuggets,116,Miami Heat,119,Box Score,,20104,AmericanAirlines Arena,
Sat Nov 3 2012,8:00p,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,21758,United Center,
Sat Nov 3 2012,8:00p,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,18140,Toyota Center,
Sat Nov 3 2012,8:30p,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,19490,American Airlines Center,
Sat Nov 3 2012,8:30p,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,17086,BMO Harris Bradley Center,
Sat Nov 3 2012,8:30p,Utah Jazz,100,San Antonio Spurs,110,Box Score,,18581,AT&T Center,
Sat Nov 3 2012,10:30p,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,19060,STAPLES Center,
Sun Nov 4 2012,12:00p,Philadelphia 76ers,84,New York Knicks,100,Box Score,,19033,Madison Square Garden (IV),
Sun Nov 4 2012,6:00p,Phoenix Suns,94,Orlando Magic,115,Box Score,,17022,Amway Center,
Sun Nov 4 2012,6:00p,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,16754,Air Canada Centre,
