Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Nov 7 2006,7:00p,Philadelphia 76ers,86,Indiana Pacers,97,Box Score,,15811,Conseco Fieldhouse,
Tue Nov 7 2006,7:30p,Seattle SuperSonics,87,Miami Heat,90,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 7 2006,8:00p,Houston Rockets,86,Memphis Grizzlies,80,Box Score,,14173,FedEx Forum,
Tue Nov 7 2006,8:00p,Golden State Warriors,93,New Orleans/Oklahoma City Hornets,97,Box Score,,19164,Ford Center,
Tue Nov 7 2006,10:30p,Minnesota Timberwolves,88,Los Angeles Lakers,95,Box Score,,18997,STAPLES Center,
Wed Nov 8 2006,7:00p,Seattle SuperSonics,87,Orlando Magic,88,Box Score,,16312,Amway Arena,
Wed Nov 8 2006,7:00p,Philadelphia 76ers,104,Toronto Raptors,106,Box Score,,15831,Air Canada Centre,
Wed Nov 8 2006,7:00p,Indiana Pacers,91,Washington Wizards,117,Box Score,,16031,Verizon Center,
Wed Nov 8 2006,7:30p,Charlotte Bobcats,108,Boston Celtics,110,Box Score,OT,15183,TD Banknorth Garden,
Wed Nov 8 2006,7:30p,Utah Jazz,89,New Jersey Nets,96,Box Score,,15901,Continental Airlines Arena,
Wed Nov 8 2006,8:00p,Houston Rockets,97,Milwaukee Bucks,93,Box Score,,16102,Bradley Center,
Wed Nov 8 2006,8:00p,Phoenix Suns,106,San Antonio Spurs,111,Box Score,OT,18797,AT&T Center,
Wed Nov 8 2006,9:00p,New York Knicks,109,Denver Nuggets,107,Box Score,,14315,Pepsi Center,
Wed Nov 8 2006,10:00p,Los Angeles Lakers,90,Portland Trail Blazers,101,Box Score,,17022,Rose Garden Arena,
Wed Nov 8 2006,10:30p,Dallas Mavericks,85,Los Angeles Clippers,103,Box Score,,18538,STAPLES Center,
Wed Nov 8 2006,10:30p,Detroit Pistons,86,Sacramento Kings,99,Box Score,,17317,ARCO Arena (II),
Thu Nov 9 2006,8:00p,Chicago Bulls,94,Cleveland Cavaliers,113,Box Score,,19947,Quicken Loans Arena,
Thu Nov 9 2006,10:30p,New Orleans/Oklahoma City Hornets,116,Golden State Warriors,121,Box Score,,16927,Oracle Arena,
Thu Nov 9 2006,10:30p,Dallas Mavericks,119,Phoenix Suns,112,Box Score,,18422,US Airways Center,
Fri Nov 10 2006,7:00p,Seattle SuperSonics,99,Charlotte Bobcats,85,Box Score,,13515,Charlotte Bobcats Arena,
Fri Nov 10 2006,7:00p,Orlando Magic,83,Indiana Pacers,93,Box Score,,18165,Conseco Fieldhouse,
Fri Nov 10 2006,7:00p,Denver Nuggets,108,Philadelphia 76ers,101,Box Score,,16374,Wachovia Center,
Fri Nov 10 2006,7:00p,Atlanta Hawks,111,Toronto Raptors,102,Box Score,,14680,Air Canada Centre,
Fri Nov 10 2006,7:00p,Milwaukee Bucks,111,Washington Wizards,116,Box Score,,19554,Verizon Center,
Fri Nov 10 2006,7:30p,Utah Jazz,107,Boston Celtics,100,Box Score,,18624,TD Banknorth Garden,
Fri Nov 10 2006,8:00p,Miami Heat,113,New Jersey Nets,106,Box Score,,20032,Continental Airlines Arena,
Fri Nov 10 2006,8:30p,New York Knicks,94,Houston Rockets,103,Box Score,,18109,Toyota Center,
Fri Nov 10 2006,10:00p,New Orleans/Oklahoma City Hornets,91,Portland Trail Blazers,92,Box Score,,14122,Rose Garden Arena,
Fri Nov 10 2006,10:30p,Detroit Pistons,97,Los Angeles Lakers,83,Box Score,,18997,STAPLES Center,
Sat Nov 11 2006,7:00p,Seattle SuperSonics,113,Atlanta Hawks,112,Box Score,OT,19309,Philips Arena,
Sat Nov 11 2006,7:30p,Boston Celtics,93,Cleveland Cavaliers,94,Box Score,,20562,Quicken Loans Arena,
Sat Nov 11 2006,8:00p,Orlando Magic,109,Minnesota Timberwolves,98,Box Score,,18229,Target Center,
Sat Nov 11 2006,8:00p,New York Knicks,92,San Antonio Spurs,100,Box Score,,18797,AT&T Center,
Sat Nov 11 2006,8:30p,Indiana Pacers,80,Chicago Bulls,89,Box Score,,22555,United Center,
Sat Nov 11 2006,8:30p,Utah Jazz,113,Milwaukee Bucks,111,Box Score,,16019,Bradley Center,
Sat Nov 11 2006,9:00p,Memphis Grizzlies,87,Phoenix Suns,96,Box Score,,18422,US Airways Center,
Sat Nov 11 2006,10:30p,Detroit Pistons,79,Golden State Warriors,111,Box Score,,18508,Oracle Arena,
Sun Nov 12 2006,3:30p,New Orleans/Oklahoma City Hornets,76,Los Angeles Clippers,92,Box Score,,18273,STAPLES Center,
Sun Nov 12 2006,6:00p,Denver Nuggets,108,Charlotte Bobcats,101,Box Score,,13203,Charlotte Bobcats Arena,
Sun Nov 12 2006,6:00p,New Jersey Nets,105,Washington Wizards,93,Box Score,OT,15303,Verizon Center,
Sun Nov 12 2006,8:00p,Houston Rockets,94,Miami Heat,72,Box Score,,19600,AmericanAirlines Arena,
Sun Nov 12 2006,9:00p,Dallas Mavericks,103,Portland Trail Blazers,96,Box Score,,15005,Rose Garden Arena,
Sun Nov 12 2006,9:00p,Toronto Raptors,92,Sacramento Kings,107,Box Score,,17317,ARCO Arena (II),
Sun Nov 12 2006,9:30p,Memphis Grizzlies,81,Los Angeles Lakers,91,Box Score,,18997,STAPLES Center,
Mon Nov 13 2006,7:30p,Orlando Magic,92,Boston Celtics,89,Box Score,,14379,TD Banknorth Garden,
Mon Nov 13 2006,7:30p,Seattle SuperSonics,119,New Jersey Nets,113,Box Score,,14392,Continental Airlines Arena,
Mon Nov 13 2006,7:30p,Cleveland Cavaliers,102,New York Knicks,96,Box Score,,18468,Madison Square Garden (IV),
Tue Nov 14 2006,7:00p,Milwaukee Bucks,103,Atlanta Hawks,101,Box Score,,14265,Philips Arena,
Tue Nov 14 2006,7:30p,Denver Nuggets,112,Miami Heat,105,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 14 2006,8:00p,Portland Trail Blazers,89,Minnesota Timberwolves,101,Box Score,,15761,Target Center,
Tue Nov 14 2006,8:00p,Charlotte Bobcats,85,New Orleans/Oklahoma City Hornets,94,Box Score,,16623,Ford Center,
Tue Nov 14 2006,8:30p,Chicago Bulls,99,Dallas Mavericks,111,Box Score,,20274,American Airlines Center,
Tue Nov 14 2006,8:30p,San Antonio Spurs,92,Houston Rockets,84,Box Score,,18289,Toyota Center,
Tue Nov 14 2006,9:00p,Los Angeles Clippers,90,Utah Jazz,112,Box Score,,16852,EnergySolutions Arena,
Tue Nov 14 2006,10:30p,Toronto Raptors,99,Golden State Warriors,110,Box Score,,16182,Oracle Arena,
Wed Nov 15 2006,7:00p,Portland Trail Blazers,87,Cleveland Cavaliers,100,Box Score,,20096,Quicken Loans Arena,
Wed Nov 15 2006,7:00p,Denver Nuggets,99,Orlando Magic,108,Box Score,,15463,Amway Arena,
Wed Nov 15 2006,7:30p,Indiana Pacers,88,Boston Celtics,114,Box Score,,14033,TD Banknorth Garden,
Wed Nov 15 2006,7:30p,New Orleans/Oklahoma City Hornets,100,Detroit Pistons,99,Box Score,,22076,The Palace of Auburn Hills,
Wed Nov 15 2006,7:30p,Milwaukee Bucks,87,New Jersey Nets,100,Box Score,,16603,Continental Airlines Arena,
Wed Nov 15 2006,7:30p,Washington Wizards,82,New York Knicks,102,Box Score,,14836,Madison Square Garden (IV),
Wed Nov 15 2006,8:00p,Charlotte Bobcats,95,San Antonio Spurs,92,Box Score,OT,18797,AT&T Center,
Wed Nov 15 2006,9:00p,Memphis Grizzlies,111,Sacramento Kings,115,Box Score,,17317,ARCO Arena (II),
Wed Nov 15 2006,10:00p,Philadelphia 76ers,96,Seattle SuperSonics,90,Box Score,,14936,KeyArena at Seattle Center,
Thu Nov 16 2006,8:00p,Chicago Bulls,100,Houston Rockets,101,Box Score,,16764,Toyota Center,
Thu Nov 16 2006,10:30p,Sacramento Kings,105,Golden State Warriors,117,Box Score,,17821,Oracle Arena,
Fri Nov 17 2006,7:00p,New Jersey Nets,100,Indiana Pacers,91,Box Score,,18165,Conseco Fieldhouse,
Fri Nov 17 2006,7:30p,Portland Trail Blazers,90,Boston Celtics,118,Box Score,,17124,TD Banknorth Garden,
Fri Nov 17 2006,7:30p,Minnesota Timberwolves,76,Cleveland Cavaliers,92,Box Score,,20562,Quicken Loans Arena,
Fri Nov 17 2006,7:30p,New York Knicks,100,Miami Heat,76,Box Score,,19600,AmericanAirlines Arena,
Fri Nov 17 2006,8:00p,Washington Wizards,91,Detroit Pistons,100,Box Score,,22076,The Palace of Auburn Hills,
Fri Nov 17 2006,8:00p,Dallas Mavericks,115,Memphis Grizzlies,103,Box Score,,16727,FedEx Forum,
Fri Nov 17 2006,8:00p,Chicago Bulls,83,San Antonio Spurs,100,Box Score,,18797,AT&T Center,
Fri Nov 17 2006,10:30p,Toronto Raptors,100,Los Angeles Lakers,107,Box Score,,18997,STAPLES Center,
Fri Nov 17 2006,10:30p,Philadelphia 76ers,94,Phoenix Suns,106,Box Score,,18422,US Airways Center,
Fri Nov 17 2006,10:30p,Utah Jazz,118,Seattle SuperSonics,109,Box Score,,15513,KeyArena at Seattle Center,
Sat Nov 18 2006,7:00p,Miami Heat,93,Atlanta Hawks,88,Box Score,OT,19744,Philips Arena,
Sat Nov 18 2006,7:00p,Charlotte Bobcats,83,Orlando Magic,97,Box Score,,17451,Amway Arena,
Sat Nov 18 2006,7:00p,Cleveland Cavaliers,99,Washington Wizards,111,Box Score,,20173,Verizon Center,
Sat Nov 18 2006,7:30p,Houston Rockets,92,Detroit Pistons,104,Box Score,,22076,The Palace of Auburn Hills,
Sat Nov 18 2006,7:30p,Portland Trail Blazers,86,New Jersey Nets,68,Box Score,,16004,Continental Airlines Arena,
Sat Nov 18 2006,7:30p,Boston Celtics,122,New York Knicks,118,Box Score,,18118,Madison Square Garden (IV),
