Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Oct 26 2010,7:30p,Miami Heat,80,Boston Celtics,88,Box Score,,18624,TD Garden,
Tue Oct 26 2010,10:00p,Phoenix Suns,92,Portland Trail Blazers,106,Box Score,,20603,Rose Garden Arena,
Tue Oct 26 2010,10:30p,Houston Rockets,110,Los Angeles Lakers,112,Box Score,,18997,STAPLES Center,
Wed Oct 27 2010,7:00p,Boston Celtics,87,Cleveland Cavaliers,95,Box Score,,20562,Quicken Loans Arena,
Wed Oct 27 2010,7:00p,New York Knicks,98,Toronto Raptors,93,Box Score,,18722,Air Canada Centre,
Wed Oct 27 2010,7:00p,Miami Heat,97,Philadelphia 76ers,87,Box Score,,20389,Wells Fargo Center,
Wed Oct 27 2010,7:00p,Detroit Pistons,98,New Jersey Nets,101,Box Score,,15178,Prudential Center,
Wed Oct 27 2010,8:00p,Chicago Bulls,95,Oklahoma City Thunder,106,Box Score,,18203,Chesapeake Energy Arena,
Wed Oct 27 2010,8:00p,Milwaukee Bucks,91,New Orleans Hornets,95,Box Score,,15039,New Orleans Arena,
Wed Oct 27 2010,8:00p,Sacramento Kings,117,Minnesota Timberwolves,116,Box Score,,17067,Target Center,
Wed Oct 27 2010,8:00p,Atlanta Hawks,119,Memphis Grizzlies,104,Box Score,,17519,FedEx Forum,
Wed Oct 27 2010,8:30p,Indiana Pacers,109,San Antonio Spurs,122,Box Score,,18581,AT&T Center,
Wed Oct 27 2010,8:30p,Charlotte Bobcats,86,Dallas Mavericks,101,Box Score,,19440,American Airlines Center,
Wed Oct 27 2010,9:00p,Utah Jazz,88,Denver Nuggets,110,Box Score,,19155,Pepsi Center,
Wed Oct 27 2010,10:30p,Portland Trail Blazers,98,Los Angeles Clippers,88,Box Score,,18382,STAPLES Center,
Wed Oct 27 2010,10:30p,Houston Rockets,128,Golden State Warriors,132,Box Score,,18428,Oracle Arena,
Thu Oct 28 2010,8:00p,Washington Wizards,83,Orlando Magic,112,Box Score,,18918,Amway Center,
