Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Nov 2 2004,8:00p,Houston Rockets,79,Detroit Pistons,87,Box Score,,22076,The Palace of Auburn Hills,
Tue Nov 2 2004,8:30p,Sacramento Kings,98,Dallas Mavericks,107,Box Score,,20041,American Airlines Center,
Tue Nov 2 2004,10:30p,Denver Nuggets,78,Los Angeles Lakers,89,Box Score,,18997,STAPLES Center,
Wed Nov 3 2004,7:00p,Indiana Pacers,109,Cleveland Cavaliers,104,Box Score,2OT,19730,Gund Arena,
Wed Nov 3 2004,7:00p,Milwaukee Bucks,92,Orlando Magic,93,Box Score,,15138,TD Waterhouse Centre,
Wed Nov 3 2004,7:00p,Houston Rockets,88,Toronto Raptors,95,Box Score,,19800,Air Canada Centre,
Wed Nov 3 2004,7:30p,Philadelphia 76ers,98,Boston Celtics,95,Box Score,,18624,FleetCenter,
Wed Nov 3 2004,8:00p,Washington Wizards,103,Memphis Grizzlies,91,Box Score,,18119,FedEx Forum,
Wed Nov 3 2004,8:00p,New York Knicks,93,Minnesota Timberwolves,99,Box Score,,17295,Target Center,
Wed Nov 3 2004,8:00p,Miami Heat,100,New Jersey Nets,77,Box Score,,17260,Continental Airlines Arena,
Wed Nov 3 2004,8:00p,Dallas Mavericks,106,New Orleans Hornets,91,Box Score,,17682,New Orleans Arena,
Wed Nov 3 2004,8:30p,Sacramento Kings,85,San Antonio Spurs,101,Box Score,,18797,SBC Center,
Wed Nov 3 2004,9:00p,Atlanta Hawks,82,Phoenix Suns,112,Box Score,,18422,America West Arena,
Wed Nov 3 2004,10:30p,Portland Trail Blazers,78,Golden State Warriors,75,Box Score,,15351,Oakland Arena,
Wed Nov 3 2004,10:30p,Seattle SuperSonics,84,Los Angeles Clippers,114,Box Score,,13371,STAPLES Center,
Wed Nov 3 2004,10:30p,Los Angeles Lakers,78,Utah Jazz,104,Box Score,,19911,Delta Center,
Thu Nov 4 2004,7:00p,Washington Wizards,103,Charlotte Bobcats,96,Box Score,,23319,Charlotte Coliseum,
Thu Nov 4 2004,8:00p,Cleveland Cavaliers,86,Miami Heat,92,Box Score,,20235,AmericanAirlines Arena,
Thu Nov 4 2004,10:30p,Minnesota Timberwolves,92,Denver Nuggets,94,Box Score,OT,19099,Pepsi Center,
Fri Nov 5 2004,7:00p,Phoenix Suns,108,Philadelphia 76ers,98,Box Score,,19385,Wachovia Center,
Fri Nov 5 2004,7:00p,Detroit Pistons,89,Toronto Raptors,101,Box Score,,15284,Air Canada Centre,
Fri Nov 5 2004,7:30p,Indiana Pacers,100,Boston Celtics,94,Box Score,,13702,FleetCenter,
Fri Nov 5 2004,8:00p,Houston Rockets,89,Memphis Grizzlies,81,Box Score,,18119,FedEx Forum,
Fri Nov 5 2004,8:00p,Orlando Magic,90,New Orleans Hornets,89,Box Score,,14218,New Orleans Arena,
Fri Nov 5 2004,8:30p,New Jersey Nets,111,Chicago Bulls,106,Box Score,2OT,20117,United Center,
Fri Nov 5 2004,10:00p,Los Angeles Clippers,81,Portland Trail Blazers,94,Box Score,,19818,Rose Garden Arena,
Fri Nov 5 2004,10:30p,Utah Jazz,102,Golden State Warriors,80,Box Score,,15668,Oakland Arena,
Fri Nov 5 2004,10:30p,San Antonio Spurs,105,Los Angeles Lakers,96,Box Score,,18997,STAPLES Center,
Fri Nov 5 2004,10:30p,Atlanta Hawks,85,Seattle SuperSonics,106,Box Score,,16103,KeyArena at Seattle Center,
Sat Nov 6 2004,7:00p,Orlando Magic,100,Charlotte Bobcats,111,Box Score,,20873,Charlotte Coliseum,
Sat Nov 6 2004,7:00p,Miami Heat,118,Washington Wizards,106,Box Score,,19859,MCI Center,
Sat Nov 6 2004,7:30p,Philadelphia 76ers,91,Detroit Pistons,99,Box Score,,22076,The Palace of Auburn Hills,
Sat Nov 6 2004,7:30p,Boston Celtics,107,New York Knicks,73,Box Score,,19763,Madison Square Garden (IV),
Sat Nov 6 2004,8:00p,Chicago Bulls,90,Indiana Pacers,100,Box Score,,18022,Conseco Fieldhouse,
Sat Nov 6 2004,8:00p,New Orleans Hornets,92,Minnesota Timberwolves,99,Box Score,,15812,Target Center,
Sat Nov 6 2004,8:00p,Phoenix Suns,112,New Jersey Nets,80,Box Score,,13254,Continental Airlines Arena,
Sat Nov 6 2004,8:30p,Memphis Grizzlies,88,Dallas Mavericks,112,Box Score,,19796,American Airlines Center,
Sat Nov 6 2004,8:30p,Sacramento Kings,101,Houston Rockets,104,Box Score,OT,18003,Toyota Center,
Sat Nov 6 2004,8:30p,Cleveland Cavaliers,88,Milwaukee Bucks,102,Box Score,,17863,Bradley Center,
Sat Nov 6 2004,9:00p,Utah Jazz,106,Denver Nuggets,82,Box Score,,19099,Pepsi Center,
Sat Nov 6 2004,10:30p,Los Angeles Clippers,94,Golden State Warriors,86,Box Score,,16385,Oakland Arena,
Sun Nov 7 2004,12:30p,Portland Trail Blazers,97,Toronto Raptors,101,Box Score,,13863,Air Canada Centre,
Sun Nov 7 2004,8:00p,San Antonio Spurs,94,Seattle SuperSonics,113,Box Score,,15851,KeyArena at Seattle Center,
Sun Nov 7 2004,9:30p,Atlanta Hawks,90,Los Angeles Lakers,106,Box Score,,18997,STAPLES Center,
Mon Nov 8 2004,8:30p,Golden State Warriors,98,Dallas Mavericks,101,Box Score,OT,19527,American Airlines Center,
Mon Nov 8 2004,9:00p,Denver Nuggets,91,Utah Jazz,102,Box Score,,18667,Delta Center,
Mon Nov 8 2004,10:30p,Detroit Pistons,99,Los Angeles Clippers,96,Box Score,2OT,15866,STAPLES Center,
Tue Nov 9 2004,7:00p,Dallas Mavericks,84,Orlando Magic,94,Box Score,,13155,TD Waterhouse Centre,
Tue Nov 9 2004,7:30p,Cleveland Cavaliers,93,Atlanta Hawks,79,Box Score,,19624,Philips Arena,
Tue Nov 9 2004,7:30p,Washington Wizards,93,Miami Heat,103,Box Score,,18465,AmericanAirlines Arena,
Tue Nov 9 2004,7:30p,Portland Trail Blazers,60,New Jersey Nets,64,Box Score,,13621,Continental Airlines Arena,
Tue Nov 9 2004,7:30p,Philadelphia 76ers,88,New York Knicks,96,Box Score,,19001,Madison Square Garden (IV),
Tue Nov 9 2004,8:00p,Indiana Pacers,102,Minnesota Timberwolves,101,Box Score,,15409,Target Center,
Tue Nov 9 2004,8:00p,Los Angeles Lakers,106,New Orleans Hornets,98,Box Score,,17202,New Orleans Arena,
Tue Nov 9 2004,8:30p,Phoenix Suns,94,Chicago Bulls,74,Box Score,,17595,United Center,
Tue Nov 9 2004,8:30p,Memphis Grizzlies,87,Houston Rockets,90,Box Score,,11568,Toyota Center,
Tue Nov 9 2004,9:00p,Seattle SuperSonics,108,Denver Nuggets,88,Box Score,,12962,Pepsi Center,
Tue Nov 9 2004,10:00p,Toronto Raptors,92,Sacramento Kings,108,Box Score,,17317,ARCO Arena (II),
Wed Nov 10 2004,7:00p,Portland Trail Blazers,88,Boston Celtics,90,Box Score,,13341,FleetCenter,
Wed Nov 10 2004,7:00p,Los Angeles Clippers,102,Indiana Pacers,68,Box Score,,14657,Conseco Fieldhouse,
Wed Nov 10 2004,7:00p,New Jersey Nets,100,Philadelphia 76ers,108,Box Score,OT,15678,Wachovia Center,
Wed Nov 10 2004,7:00p,Orlando Magic,96,Washington Wizards,106,Box Score,,15042,MCI Center,
Wed Nov 10 2004,8:00p,Phoenix Suns,109,Cleveland Cavaliers,114,Box Score,OT,15190,Gund Arena,
Wed Nov 10 2004,8:00p,Los Angeles Lakers,87,Memphis Grizzlies,110,Box Score,,18119,FedEx Forum,
Wed Nov 10 2004,8:00p,Charlotte Bobcats,100,Milwaukee Bucks,102,Box Score,,17029,Bradley Center,
Wed Nov 10 2004,8:30p,Golden State Warriors,71,San Antonio Spurs,91,Box Score,,16826,SBC Center,
Wed Nov 10 2004,9:00p,Toronto Raptors,104,Utah Jazz,95,Box Score,,19683,Delta Center,
Wed Nov 10 2004,10:30p,Sacramento Kings,78,Seattle SuperSonics,108,Box Score,,14355,KeyArena at Seattle Center,
Thu Nov 11 2004,8:00p,Dallas Mavericks,113,Miami Heat,93,Box Score,,19985,AmericanAirlines Arena,
Thu Nov 11 2004,8:30p,Minnesota Timberwolves,96,Houston Rockets,91,Box Score,,15566,Toyota Center,
Thu Nov 11 2004,10:30p,Detroit Pistons,109,Denver Nuggets,117,Box Score,,18711,Pepsi Center,
Fri Nov 12 2004,7:00p,Los Angeles Lakers,113,Orlando Magic,122,Box Score,,17283,TD Waterhouse Centre,
Fri Nov 12 2004,7:00p,Indiana Pacers,104,Philadelphia 76ers,106,Box Score,OT,15729,Wachovia Center,
Fri Nov 12 2004,7:30p,Charlotte Bobcats,74,Boston Celtics,91,Box Score,,14012,FleetCenter,
Fri Nov 12 2004,7:30p,Los Angeles Clippers,96,New York Knicks,110,Box Score,,19763,Madison Square Garden (IV),
Fri Nov 12 2004,8:00p,Golden State Warriors,67,Memphis Grizzlies,96,Box Score,,17086,FedEx Forum,
Fri Nov 12 2004,8:00p,Atlanta Hawks,96,New Orleans Hornets,95,Box Score,,12069,New Orleans Arena,
Fri Nov 12 2004,8:00p,Miami Heat,84,San Antonio Spurs,93,Box Score,,18797,SBC Center,
Fri Nov 12 2004,10:30p,Toronto Raptors,87,Seattle SuperSonics,88,Box Score,,15702,KeyArena at Seattle Center,
Sat Nov 13 2004,1:00p,Washington Wizards,74,Cleveland Cavaliers,105,Box Score,,16105,Gund Arena,
Sat Nov 13 2004,1:00p,Dallas Mavericks,94,New Jersey Nets,78,Box Score,,12975,Continental Airlines Arena,
Sat Nov 13 2004,7:00p,San Antonio Spurs,103,Atlanta Hawks,88,Box Score,,11326,Philips Arena,
Sat Nov 13 2004,7:00p,Golden State Warriors,103,Charlotte Bobcats,87,Box Score,,12376,Charlotte Coliseum,
Sat Nov 13 2004,8:00p,New York Knicks,97,Indiana Pacers,103,Box Score,,17548,Conseco Fieldhouse,
Sat Nov 13 2004,8:30p,Los Angeles Clippers,97,Chicago Bulls,96,Box Score,,21764,United Center,
Sat Nov 13 2004,8:30p,Los Angeles Lakers,84,Houston Rockets,79,Box Score,,18181,Toyota Center,
Sat Nov 13 2004,8:30p,New Orleans Hornets,91,Milwaukee Bucks,94,Box Score,,16333,Bradley Center,
Sat Nov 13 2004,9:00p,Sacramento Kings,113,Phoenix Suns,111,Box Score,,18422,America West Arena,
Sat Nov 13 2004,9:00p,Detroit Pistons,93,Utah Jazz,108,Box Score,,19911,Delta Center,
Sat Nov 13 2004,10:00p,Toronto Raptors,102,Portland Trail Blazers,105,Box Score,,16362,Rose Garden Arena,
Sun Nov 14 2004,1:00p,Dallas Mavericks,122,Washington Wizards,113,Box Score,,15420,MCI Center,
Sun Nov 14 2004,2:00p,Orlando Magic,87,Philadelphia 76ers,96,Box Score,,17457,Wachovia Center,
Sun Nov 14 2004,6:00p,Milwaukee Bucks,110,Miami Heat,112,Box Score,2OT,18984,AmericanAirlines Arena,
Sun Nov 14 2004,8:00p,Memphis Grizzlies,113,Seattle SuperSonics,118,Box Score,,12302,KeyArena at Seattle Center,
Sun Nov 14 2004,9:00p,Denver Nuggets,89,Sacramento Kings,101,Box Score,,17317,ARCO Arena (II),
Mon Nov 15 2004,7:00p,Golden State Warriors,88,Cleveland Cavaliers,99,Box Score,,20562,Gund Arena,
Mon Nov 15 2004,7:30p,Houston Rockets,80,New Jersey Nets,69,Box Score,,13942,Continental Airlines Arena,
Tue Nov 16 2004,7:00p,Utah Jazz,107,Charlotte Bobcats,105,Box Score,,10412,Charlotte Coliseum,
Tue Nov 16 2004,7:00p,Seattle SuperSonics,103,Philadelphia 76ers,95,Box Score,,15589,Wachovia Center,
Tue Nov 16 2004,7:30p,Houston Rockets,84,Atlanta Hawks,88,Box Score,,16595,Philips Arena,
Tue Nov 16 2004,8:00p,Miami Heat,97,Minnesota Timberwolves,108,Box Score,,17347,Target Center,
Tue Nov 16 2004,8:30p,Phoenix Suns,107,Dallas Mavericks,101,Box Score,,20238,American Airlines Center,
Tue Nov 16 2004,8:30p,New York Knicks,81,San Antonio Spurs,99,Box Score,,17705,SBC Center,
Tue Nov 16 2004,10:00p,Chicago Bulls,106,Sacramento Kings,113,Box Score,,17317,ARCO Arena (II),
Tue Nov 16 2004,10:30p,Toronto Raptors,89,Los Angeles Clippers,101,Box Score,,14985,STAPLES Center,
Wed Nov 17 2004,7:00p,Atlanta Hawks,86,Indiana Pacers,93,Box Score,,14632,Conseco Fieldhouse,
Wed Nov 17 2004,7:00p,Utah Jazz,92,Orlando Magic,107,Box Score,,13386,TD Waterhouse Centre,
Wed Nov 17 2004,7:00p,Boston Celtics,105,Washington Wizards,110,Box Score,OT,14613,MCI Center,
Wed Nov 17 2004,7:30p,Minnesota Timberwolves,85,Detroit Pistons,93,Box Score,,22076,The Palace of Auburn Hills,
Wed Nov 17 2004,7:30p,Seattle SuperSonics,79,New Jersey Nets,68,Box Score,,12127,Continental Airlines Arena,
Wed Nov 17 2004,8:00p,Phoenix Suns,95,New Orleans Hornets,84,Box Score,,11359,New Orleans Arena,
Wed Nov 17 2004,9:00p,Toronto Raptors,106,Denver Nuggets,112,Box Score,,14818,Pepsi Center,
Wed Nov 17 2004,9:00p,Miami Heat,113,Milwaukee Bucks,106,Box Score,,15891,Bradley Center,
Wed Nov 17 2004,10:00p,Memphis Grizzlies,101,Portland Trail Blazers,82,Box Score,,14176,Rose Garden Arena,
