Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Nov 1 2005,7:00p,Milwaukee Bucks,117,Philadelphia 76ers,108,Box Score,OT,17705,Wachovia Center,
Tue Nov 1 2005,8:00p,Sacramento Kings,67,New Orleans/Oklahoma City Hornets,93,Box Score,,19163,Ford Center,
Tue Nov 1 2005,8:00p,Denver Nuggets,91,San Antonio Spurs,102,Box Score,,18797,SBC Center,
Tue Nov 1 2005,10:30p,Dallas Mavericks,111,Phoenix Suns,108,Box Score,2OT,17961,America West Arena,
Wed Nov 2 2005,7:00p,New Orleans/Oklahoma City Hornets,87,Cleveland Cavaliers,109,Box Score,,20562,Gund Arena,
Wed Nov 2 2005,7:00p,Indiana Pacers,90,Orlando Magic,78,Box Score,,17283,TD Waterhouse Centre,
Wed Nov 2 2005,7:00p,Washington Wizards,99,Toronto Raptors,96,Box Score,,18106,Air Canada Centre,
Wed Nov 2 2005,7:30p,New York Knicks,100,Boston Celtics,114,Box Score,OT,18624,TD Banknorth Garden,
Wed Nov 2 2005,7:30p,Milwaukee Bucks,110,New Jersey Nets,96,Box Score,,20098,Continental Airlines Arena,
Wed Nov 2 2005,8:00p,Philadelphia 76ers,88,Detroit Pistons,108,Box Score,,22076,The Palace of Auburn Hills,
Wed Nov 2 2005,8:00p,Miami Heat,97,Memphis Grizzlies,78,Box Score,,18119,FedEx Forum,
Wed Nov 2 2005,8:00p,Portland Trail Blazers,86,Minnesota Timberwolves,90,Box Score,,16799,Target Center,
Wed Nov 2 2005,8:30p,Charlotte Bobcats,105,Chicago Bulls,109,Box Score,OT,19251,United Center,
Wed Nov 2 2005,8:30p,Sacramento Kings,89,Houston Rockets,98,Box Score,,16457,Toyota Center,
Wed Nov 2 2005,9:00p,Dallas Mavericks,82,Utah Jazz,93,Box Score,,18249,Delta Center,
Wed Nov 2 2005,10:00p,Los Angeles Clippers,101,Seattle SuperSonics,93,Box Score,,16515,KeyArena at Seattle Center,
Wed Nov 2 2005,10:30p,Los Angeles Lakers,99,Denver Nuggets,97,Box Score,OT,19245,Pepsi Center,
Wed Nov 2 2005,10:30p,Atlanta Hawks,97,Golden State Warriors,122,Box Score,,18629,Oakland Arena,
Thu Nov 3 2005,8:00p,Indiana Pacers,105,Miami Heat,102,Box Score,,20128,AmericanAirlines Arena,
Thu Nov 3 2005,10:30p,Phoenix Suns,122,Los Angeles Lakers,112,Box Score,,18997,STAPLES Center,
Fri Nov 4 2005,7:00p,Memphis Grizzlies,94,Orlando Magic,85,Box Score,,14942,TD Waterhouse Centre,
Fri Nov 4 2005,7:00p,Charlotte Bobcats,110,Philadelphia 76ers,93,Box Score,,14654,Wachovia Center,
Fri Nov 4 2005,7:00p,New Jersey Nets,102,Toronto Raptors,92,Box Score,,18586,Air Canada Centre,
Fri Nov 4 2005,7:30p,Detroit Pistons,82,Boston Celtics,81,Box Score,,16642,TD Banknorth Garden,
Fri Nov 4 2005,7:30p,Washington Wizards,86,New York Knicks,75,Box Score,,19763,Madison Square Garden (IV),
Fri Nov 4 2005,8:00p,Cleveland Cavaliers,76,San Antonio Spurs,102,Box Score,,18797,SBC Center,
Fri Nov 4 2005,9:00p,Portland Trail Blazers,68,Denver Nuggets,107,Box Score,,15595,Pepsi Center,
Fri Nov 4 2005,10:30p,Utah Jazz,91,Golden State Warriors,85,Box Score,,18416,Oakland Arena,
Fri Nov 4 2005,10:30p,Atlanta Hawks,77,Los Angeles Clippers,92,Box Score,,16813,STAPLES Center,
Fri Nov 4 2005,10:30p,Minnesota Timberwolves,102,Seattle SuperSonics,107,Box Score,OT,17072,KeyArena at Seattle Center,
Sat Nov 5 2005,7:00p,Orlando Magic,79,Washington Wizards,87,Box Score,,20173,MCI Center,
